"","fips","county","candidate","votes"
"954","06015","Del Norte","Mitt Romney",4614
"968","06017","El Dorado","Mitt Romney",50973
"982","06019","Fresno","Mitt Romney",124490
"996","06021","Glenn","Mitt Romney",5632
"1010","06023","Humboldt","Mitt Romney",18825
"1024","06025","Imperial","Mitt Romney",12777
"1038","06027","Inyo","Mitt Romney",4340
"1052","06029","Kern","Mitt Romney",126618
"1066","06031","Kings","Mitt Romney",17671
"1080","06033","Lake","Mitt Romney",9200
"1094","06035","Lassen","Mitt Romney",7296
"1108","06037","Los Angeles","Mitt Romney",885333
"1122","06039","Madera","Mitt Romney",22852
"1136","06041","Marin","Mitt Romney",30880
"1150","06043","Mariposa","Mitt Romney",5140
"1164","06045","Mendocino","Mitt Romney",9658
"1178","06047","Merced","Mitt Romney",27581
"1192","06049","Modoc","Mitt Romney",2777
"1206","06051","Mono","Mitt Romney",2285
"1220","06053","Monterey","Mitt Romney",37390
"1234","06055","Napa","Mitt Romney",19526
"1248","06057","Nevada","Mitt Romney",24986
"1262","06059","Orange","Mitt Romney",582332
"1276","06061","Placer","Mitt Romney",99921
"1290","06063","Plumas","Mitt Romney",5721
"1304","06065","Riverside","Mitt Romney",318127
"1318","06067","Sacramento","Mitt Romney",202514
"1332","06069","San Benito","Mitt Romney",7343
"1346","06071","San Bernardino","Mitt Romney",262358
"1360","06073","San Diego","Mitt Romney",536726
"1374","06075","San Francisco","Mitt Romney",47076
"1388","06077","San Joaquin","Mitt Romney",86071
"1402","06079","San Luis Obispo","Mitt Romney",59967
"1416","06081","San Mateo","Mitt Romney",72756
"1430","06083","Santa Barbara","Mitt Romney",64606
"1444","06085","Santa Clara","Mitt Romney",174843
"1458","06087","Santa Cruz","Mitt Romney",24047
"1472","06089","Shasta","Mitt Romney",48067
"1486","06091","Sierra","Mitt Romney",1056
"1500","06093","Siskiyou","Mitt Romney",11077
"1514","06095","Solano","Mitt Romney",52092
"1528","06097","Sonoma","Mitt Romney",54784
"1542","06099","Stanislaus","Mitt Romney",73459
"1556","06101","Sutter","Mitt Romney",18122
"1570","06103","Tehama","Mitt Romney",14235
"1584","06105","Trinity","Mitt Romney",2716
"1598","06107","Tulare","Mitt Romney",56956
"1612","06109","Tuolumne","Mitt Romney",13880
"1626","06111","Ventura","Mitt Romney",147958
"1640","06113","Yolo","Mitt Romney",23368
"1654","06115","Yuba","Mitt Romney",11275
"1796","08001","Adams","Mitt Romney / Paul Ryan",70972
"1797","08003","Alamosa","Mitt Romney / Paul Ryan",2705
"1798","08005","Arapahoe","Mitt Romney / Paul Ryan",125588
"1799","08007","Archuleta","Mitt Romney / Paul Ryan",3872
"1800","08009","Baca","Mitt Romney / Paul Ryan",1559
"1801","08011","Bent","Mitt Romney / Paul Ryan",1075
"1802","08013","Boulder","Mitt Romney / Paul Ryan",49981
"1803","08014","Broomfield","Mitt Romney / Paul Ryan",15008
"1804","08015","Chaffee","Mitt Romney / Paul Ryan",5070
"1805","08017","Cheyenne","Mitt Romney / Paul Ryan",889
"1806","08019","Clear Creek","Mitt Romney / Paul Ryan",2430
"1807","08021","Conejos","Mitt Romney / Paul Ryan",1835
"1808","08023","Costilla","Mitt Romney / Paul Ryan",446
"1809","08025","Crowley","Mitt Romney / Paul Ryan",924
"1810","08027","Custer","Mitt Romney / Paul Ryan",1788
"1811","08029","Delta","Mitt Romney / Paul Ryan",10915
"1812","08031","Denver","Mitt Romney / Paul Ryan",73111
"1813","08033","Dolores","Mitt Romney / Paul Ryan",859
"1814","08035","Douglas","Mitt Romney / Paul Ryan",104397
"1815","08037","Eagle","Mitt Romney / Paul Ryan",9411
"1816","08041","El Paso","Mitt Romney / Paul Ryan",170952
"1817","08039","Elbert","Mitt Romney / Paul Ryan",10266
"1818","08043","Fremont","Mitt Romney / Paul Ryan",13174
"1819","08045","Garfield","Mitt Romney / Paul Ryan",12535
"1820","08047","Gilpin","Mitt Romney / Paul Ryan",1346
"1821","08049","Grand","Mitt Romney / Paul Ryan",4253
"1822","08051","Gunnison","Mitt Romney / Paul Ryan",3341
"1823","08053","Hinsdale","Mitt Romney / Paul Ryan",353
"1824","08055","Huerfano","Mitt Romney / Paul Ryan",1646
"1825","08057","Jackson","Mitt Romney / Paul Ryan",600
"1826","08059","Jefferson","Mitt Romney / Paul Ryan",144197
"1827","08061","Kiowa","Mitt Romney / Paul Ryan",677
"1828","08063","Kit Carson","Mitt Romney / Paul Ryan",2785
"1829","08067","La Plata","Mitt Romney / Paul Ryan",12794
"1830","08065","Lake","Mitt Romney / Paul Ryan",1098
"1831","08069","Larimer","Mitt Romney / Paul Ryan",82376
"1832","08071","Las Animas","Mitt Romney / Paul Ryan",3263
"1833","08073","Lincoln","Mitt Romney / Paul Ryan",1687
"1834","08075","Logan","Mitt Romney / Paul Ryan",6179
"1835","08077","Mesa","Mitt Romney / Paul Ryan",47472
"1836","08079","Mineral","Mitt Romney / Paul Ryan",344
"1837","08081","Moffat","Mitt Romney / Paul Ryan",4695
"1838","08083","Montezuma","Mitt Romney / Paul Ryan",7401
"1839","08085","Montrose","Mitt Romney / Paul Ryan",13552
"1840","08087","Morgan","Mitt Romney / Paul Ryan",6602
"1841","08089","Otero","Mitt Romney / Paul Ryan",4382
"1842","08091","Ouray","Mitt Romney / Paul Ryan",1481
"1843","08093","Park","Mitt Romney / Paul Ryan",5236
"1844","08095","Phillips","Mitt Romney / Paul Ryan",1637
"1845","08097","Pitkin","Mitt Romney / Paul Ryan",3024
"1846","08099","Prowers","Mitt Romney / Paul Ryan",3230
"1847","08101","Pueblo","Mitt Romney / Paul Ryan",31894
"1848","08103","Rio Blanco","Mitt Romney / Paul Ryan",2724
"1849","08105","Rio Grande","Mitt Romney / Paul Ryan",2918
"1850","08107","Routt","Mitt Romney / Paul Ryan",5469
"1851","08109","Saguache","Mitt Romney / Paul Ryan",964
"1852","08111","San Juan","Mitt Romney / Paul Ryan",212
"1853","08113","San Miguel","Mitt Romney / Paul Ryan",1154
"1854","08115","Sedgwick","Mitt Romney / Paul Ryan",881
"1855","08117","Summit","Mitt Romney / Paul Ryan",5571
"1856","08119","Teller","Mitt Romney / Paul Ryan",8702
"1857","08121","Washington","Mitt Romney / Paul Ryan",2076
"1858","08123","Weld","Mitt Romney / Paul Ryan",63775
"1859","08125","Yuma","Mitt Romney / Paul Ryan",3490
"2693","09001","Fairfield","Romney and Ryan",175168
"2697","09003","Hartford","Romney and Ryan",143238
"2701","09005","Litchfield","Romney and Ryan",47201
"2705","09007","Middlesex","Romney and Ryan",34591
"2709","09009","New Haven","Romney and Ryan",138357
"2713","09011","New london","Romney and Ryan",46119
"2717","09013","Tolland","Romney and Ryan",30450
"2721","09015","Windham","Romney and Ryan",19768
"2727","11001","District of Columbia","Romney",21381
"2735","10003","New Castle","ROMNEY MITT",81230
"2736","10001","Kent","ROMNEY MITT",32135
"2737","10005","Sussex","ROMNEY MITT",52119
"2745","12001","Alachua","Romney / Ryan (REP)",48797
"2763","12003","Baker","Romney / Ryan (REP)",8975
"2781","12005","Bay","Romney / Ryan (REP)",56876
"2799","12007","Bradford","Romney / Ryan (REP)",8219
"2817","12009","Brevard","Romney / Ryan (REP)",159300
"2835","12011","Broward","Romney / Ryan (REP)",244101
"2853","12013","Calhoun","Romney / Ryan (REP)",4366
"2871","12015","Charlotte","Romney / Ryan (REP)",47996
"2889","12017","Citrus","Romney / Ryan (REP)",44662
"2907","12019","Clay","Romney / Ryan (REP)",70022
"2925","12021","Collier","Romney / Ryan (REP)",96520
"2943","12023","Columbia","Romney / Ryan (REP)",18429
"2961","12027","Desoto","Romney / Ryan (REP)",5587
"2979","12029","Dixie","Romney / Ryan (REP)",5052
"2997","12031","Duval","Romney / Ryan (REP)",211615
"3015","12033","Escambia","Romney / Ryan (REP)",88711
"3033","12035","Flagler","Romney / Ryan (REP)",26969
"3051","12037","Franklin","Romney / Ryan (REP)",3570
"3069","12039","Gadsden","Romney / Ryan (REP)",6630
"3087","12041","Gilchrist","Romney / Ryan (REP)",5917
"3105","12043","Glades","Romney / Ryan (REP)",2344
"3123","12045","Gulf","Romney / Ryan (REP)",4995
"3141","12047","Hamilton","Romney / Ryan (REP)",3138
"3159","12049","Hardee","Romney / Ryan (REP)",4696
"3177","12051","Hendry","Romney / Ryan (REP)",5355
"3195","12053","Hernando","Romney / Ryan (REP)",44938
"3213","12055","Highlands","Romney / Ryan (REP)",25915
"3231","12057","Hillsborough","Romney / Ryan (REP)",250186
"3249","12059","Holmes","Romney / Ryan (REP)",6919
"3267","12061","Indian River","Romney / Ryan (REP)",43450
"3285","12063","Jackson","Romney / Ryan (REP)",13418
"3303","12065","Jefferson","Romney / Ryan (REP)",3808
"3321","12067","Lafayette","Romney / Ryan (REP)",2668
"3339","12069","Lake","Romney / Ryan (REP)",87643
"3357","12071","Lee","Romney / Ryan (REP)",154163
"3375","12073","Leon","Romney / Ryan (REP)",55805
"3393","12075","Levy","Romney / Ryan (REP)",12054
"3411","12077","Liberty","Romney / Ryan (REP)",2301
"3429","12079","Madison","Romney / Ryan (REP)",4474
"3447","12081","Manatee","Romney / Ryan (REP)",85627
"3465","12083","Marion","Romney / Ryan (REP)",93043
"3483","12085","Martin","Romney / Ryan (REP)",48183
"3501","12086","Miami-Dade","Romney / Ryan (REP)",332981
"3519","12087","Monroe","Romney / Ryan (REP)",19234
"3537","12089","Nassau","Romney / Ryan (REP)",29929
"3555","12091","Okaloosa","Romney / Ryan (REP)",70168
"3573","12093","Okeechobee","Romney / Ryan (REP)",7328
"3591","12095","Orange","Romney / Ryan (REP)",188589
"3609","12097","Osceola","Romney / Ryan (REP)",40592
"3627","12099","Palm Beach","Romney / Ryan (REP)",247398
"3645","12101","Pasco","Romney / Ryan (REP)",112427
"3663","12103","Pinellas","Romney / Ryan (REP)",213258
"3681","12105","Polk","Romney / Ryan (REP)",131577
"3699","12107","Putnam","Romney / Ryan (REP)",19326
"3717","12113","Santa Rosa","Romney / Ryan (REP)",58186
"3735","12115","Sarasota","Romney / Ryan (REP)",110504
"3753","12117","Seminole","Romney / Ryan (REP)",109943
"3771","12109","St. Johns","Romney / Ryan (REP)",78513
"3789","12111","St. Lucie","Romney / Ryan (REP)",56202
"3807","12119","Sumter","Romney / Ryan (REP)",40646
"3825","12121","Suwannee","Romney / Ryan (REP)",12672
"3843","12123","Taylor","Romney / Ryan (REP)",6249
"3861","12125","Union","Romney / Ryan (REP)",3980
"3879","12127","Volusia","Romney / Ryan (REP)",117490
"3897","12129","Wakulla","Romney / Ryan (REP)",9290
"3915","12131","Walton","Romney / Ryan (REP)",21490
"3933","12133","Washington","Romney / Ryan (REP)",8038
"3952","13001","Appling","MITT ROMNEY (R)",5233
"3953","13003","Atkinson","MITT ROMNEY (R)",1938
"3954","13005","Bacon","MITT ROMNEY (R)",3093
"3955","13007","Baker","MITT ROMNEY (R)",785
"3956","13009","Baldwin","MITT ROMNEY (R)",7589
"3957","13011","Banks","MITT ROMNEY (R)",5354
"3958","13013","Barrow","MITT ROMNEY (R)",18725
"3959","13015","Bartow","MITT ROMNEY (R)",26876
"3960","13017","Ben Hill","MITT ROMNEY (R)",3396
"3961","13019","Berrien","MITT ROMNEY (R)",4843
"3962","13021","Bibb","MITT ROMNEY (R)",25623
"3963","13023","Bleckley","MITT ROMNEY (R)",3587
"3964","13025","Brantley","MITT ROMNEY (R)",4964
"3965","13027","Brooks","MITT ROMNEY (R)",3554
"3966","13029","Bryan","MITT ROMNEY (R)",9560
"3967","13031","Bulloch","MITT ROMNEY (R)",14174
"3968","13033","Burke","MITT ROMNEY (R)",4301
"3969","13035","Butts","MITT ROMNEY (R)",6306
"3970","13037","Calhoun","MITT ROMNEY (R)",883
"3971","13039","Camden","MITT ROMNEY (R)",11343
"3972","13043","Candler","MITT ROMNEY (R)",2344
"3973","13045","Carroll","MITT ROMNEY (R)",28280
"3974","13047","Catoosa","MITT ROMNEY (R)",17858
"3975","13049","Charlton","MITT ROMNEY (R)",2527
"3976","13051","Chatham","MITT ROMNEY (R)",47204
"3977","13053","Chattahoochee","MITT ROMNEY (R)",735
"3978","13055","Chattooga","MITT ROMNEY (R)",5452
"3979","13057","Cherokee","MITT ROMNEY (R)",76514
"3980","13059","Clarke","MITT ROMNEY (R)",13815
"3981","13061","Clay","MITT ROMNEY (R)",537
"3982","13063","Clayton","MITT ROMNEY (R)",14164
"3983","13065","Clinch","MITT ROMNEY (R)",1598
"3984","13067","Cobb","MITT ROMNEY (R)",171722
"3985","13069","Coffee","MITT ROMNEY (R)",9248
"3986","13071","Colquitt","MITT ROMNEY (R)",9243
"3987","13073","Columbia","MITT ROMNEY (R)",41765
"3988","13075","Cook","MITT ROMNEY (R)",3935
"3989","13077","Coweta","MITT ROMNEY (R)",39653
"3990","13079","Crawford","MITT ROMNEY (R)",3368
"3991","13081","Crisp","MITT ROMNEY (R)",4182
"3992","13083","Dade","MITT ROMNEY (R)",4471
"3993","13085","Dawson","MITT ROMNEY (R)",8847
"3994","13089","DeKalb","MITT ROMNEY (R)",64392
"3995","13087","Decatur","MITT ROMNEY (R)",5824
"3996","13091","Dodge","MITT ROMNEY (R)",5214
"3997","13093","Dooly","MITT ROMNEY (R)",1985
"3998","13095","Dougherty","MITT ROMNEY (R)",11449
"3999","13097","Douglas","MITT ROMNEY (R)",26241
"4000","13099","Early","MITT ROMNEY (R)",2557
"4001","13101","Echols","MITT ROMNEY (R)",917
"4002","13103","Effingham","MITT ROMNEY (R)",15596
"4003","13105","Elbert","MITT ROMNEY (R)",4859
"4004","13107","Emanuel","MITT ROMNEY (R)",5100
"4005","13109","Evans","MITT ROMNEY (R)",2268
"4006","13111","Fannin","MITT ROMNEY (R)",7857
"4007","13113","Fayette","MITT ROMNEY (R)",38075
"4008","13115","Floyd","MITT ROMNEY (R)",22733
"4009","13117","Forsyth","MITT ROMNEY (R)",65908
"4010","13119","Franklin","MITT ROMNEY (R)",6114
"4011","13121","Fulton","MITT ROMNEY (R)",137124
"4012","13123","Gilmer","MITT ROMNEY (R)",8926
"4013","13125","Glascock","MITT ROMNEY (R)",1135
"4014","13127","Glynn","MITT ROMNEY (R)",20893
"4015","13129","Gordon","MITT ROMNEY (R)",13197
"4016","13131","Grady","MITT ROMNEY (R)",5924
"4017","13133","Greene","MITT ROMNEY (R)",5071
"4018","13135","Gwinnett","MITT ROMNEY (R)",159855
"4019","13137","Habersham","MITT ROMNEY (R)",12166
"4020","13139","Hall","MITT ROMNEY (R)",47481
"4021","13141","Hancock","MITT ROMNEY (R)",769
"4022","13143","Haralson","MITT ROMNEY (R)",8446
"4023","13145","Harris","MITT ROMNEY (R)",11197
"4024","13147","Hart","MITT ROMNEY (R)",6517
"4025","13149","Heard","MITT ROMNEY (R)",3160
"4026","13151","Henry","MITT ROMNEY (R)",46774
"4027","13153","Houston","MITT ROMNEY (R)",34662
"4028","13155","Irwin","MITT ROMNEY (R)",2538
"4029","13157","Jackson","MITT ROMNEY (R)",19135
"4030","13159","Jasper","MITT ROMNEY (R)",4136
"4031","13161","Jeff Davis","MITT ROMNEY (R)",3996
"4032","13163","Jefferson","MITT ROMNEY (R)",2999
"4033","13165","Jenkins","MITT ROMNEY (R)",1887
"4034","13167","Johnson","MITT ROMNEY (R)",2440
"4035","13169","Jones","MITT ROMNEY (R)",7744
"4036","13171","Lamar","MITT ROMNEY (R)",4899
"4037","13173","Lanier","MITT ROMNEY (R)",1820
"4038","13175","Laurens","MITT ROMNEY (R)",11950
"4039","13177","Lee","MITT ROMNEY (R)",10314
"4040","13179","Liberty","MITT ROMNEY (R)",5565
"4041","13181","Lincoln","MITT ROMNEY (R)",2807
"4042","13183","Long","MITT ROMNEY (R)",2306
"4043","13185","Lowndes","MITT ROMNEY (R)",21327
"4044","13187","Lumpkin","MITT ROMNEY (R)",8647
"4045","13193","Macon","MITT ROMNEY (R)",1545
"4046","13195","Madison","MITT ROMNEY (R)",8443
"4047","13197","Marion","MITT ROMNEY (R)",1733
"4048","13189","McDuffie","MITT ROMNEY (R)",5475
"4049","13191","McIntosh","MITT ROMNEY (R)",3409
"4050","13199","Meriwether","MITT ROMNEY (R)",4856
"4051","13201","Miller","MITT ROMNEY (R)",1905
"4052","13205","Mitchell","MITT ROMNEY (R)",4155
"4053","13207","Monroe","MITT ROMNEY (R)",8361
"4054","13209","Montgomery","MITT ROMNEY (R)",2662
"4055","13211","Morgan","MITT ROMNEY (R)",6186
"4056","13213","Murray","MITT ROMNEY (R)",8443
"4057","13215","Muscogee","MITT ROMNEY (R)",27510
"4058","13217","Newton","MITT ROMNEY (R)",20982
"4059","13219","Oconee","MITT ROMNEY (R)",13098
"4060","13221","Oglethorpe","MITT ROMNEY (R)",4251
"4061","13223","Paulding","MITT ROMNEY (R)",40846
"4062","13225","Peach","MITT ROMNEY (R)",5287
"4063","13227","Pickens","MITT ROMNEY (R)",10547
"4064","13229","Pierce","MITT ROMNEY (R)",5667
"4065","13231","Pike","MITT ROMNEY (R)",6668
"4066","13233","Polk","MITT ROMNEY (R)",9811
"4067","13235","Pulaski","MITT ROMNEY (R)",2444
"4068","13237","Putnam","MITT ROMNEY (R)",6215
"4069","13239","Quitman","MITT ROMNEY (R)",510
"4070","13241","Rabun","MITT ROMNEY (R)",5754
"4071","13243","Randolph","MITT ROMNEY (R)",1271
"4072","13245","Richmond","MITT ROMNEY (R)",25845
"4073","13247","Rockdale","MITT ROMNEY (R)",15716
"4074","13249","Schley","MITT ROMNEY (R)",1286
"4075","13251","Screven","MITT ROMNEY (R)",3287
