"","fips","cand","st","votes","total_votes","pct","lead"
"2479","55105","Donald Trump","WI",31483,75043,0.419532801193982,"Hillary Clinton"
"2485","54039","Donald Trump","WV",43464,74996,0.579550909381834,"Donald Trump"
"2491","13245","Donald Trump","GA",24441,74952,0.32608869676593,"Hillary Clinton"
"2493","8077","Donald Trump","CO",48129,74876,0.642782734120412,"Donald Trump"
"2515","45003","Donald Trump","SC",45981,74773,0.614941222098886,"Donald Trump"
"2522","27139","Donald Trump","MN",39948,74390,0.537007662320204,"Donald Trump"
"2532","51510","Donald Trump","VA",13241,74384,0.178008711550871,"Hillary Clinton"
"2536","10001","Donald Trump","DE",36989,74253,0.498148222967422,"Donald Trump"
"2540","4015","Donald Trump","AZ",54656,74189,0.736712989796331,"Donald Trump"
"2544","26115","Donald Trump","MI",43255,74101,0.58373031403085,"Donald Trump"
"2550","39133","Donald Trump","OH",38978,73968,0.526957603287908,"Donald Trump"
"2555","34037","Donald Trump","NJ",46486,73860,0.629379907933929,"Donald Trump"
"2564","20177","Donald Trump","KS",35349,73648,0.479972300673474,"Donald Trump"
"2568","45013","Donald Trump","SC",39986,72770,0.549484677751821,"Donald Trump"
"2576","24017","Donald Trump","MD",24163,72480,0.33337472406181,"Hillary Clinton"
"2579","6007","Donald Trump","CA",35354,72299,0.48899708156406,"Donald Trump"
"2584","37057","Donald Trump","NC",52870,72013,0.734172996542291,"Donald Trump"
"2587","16027","Donald Trump","ID",46755,72007,0.649311872456845,"Donald Trump"
"2595","18163","Donald Trump","IN",40422,71957,0.56175215753853,"Donald Trump"
"2598","21117","Donald Trump","KY",42958,71947,0.597078404936968,"Donald Trump"
"2604","26021","Donald Trump","MI",38646,71882,0.537631117665062,"Donald Trump"
"2610","48209","Donald Trump","TX",33730,71524,0.471589955819026,"Donald Trump"
"2614","47165","Donald Trump","TN",50105,71080,0.704909960607766,"Donald Trump"
"2621","37035","Donald Trump","NC",48062,71065,0.676310420037993,"Donald Trump"
"2625","6053","Donald Trump","CA",19580,70861,0.276315603787697,"Hillary Clinton"
"2629","34019","Donald Trump","NJ",38565,70582,0.546385764075827,"Donald Trump"
"2638","39045","Donald Trump","OH",43163,70542,0.61187661251453,"Donald Trump"
"2643","53005","Donald Trump","WA",42071,70499,0.596760237733869,"Donald Trump"
"2651","35049","Donald Trump","NM",14198,70376,0.201744913038536,"Hillary Clinton"
"2658","13139","Donald Trump","GA",51681,70133,0.736899890208604,"Donald Trump"
"2662","35013","Donald Trump","NM",25095,69875,0.359141323792487,"Hillary Clinton"
"2669","6017","Donald Trump","CA",37286,69852,0.533785718375995,"Donald Trump"
"2674","26075","Donald Trump","MI",39793,69567,0.572009717250995,"Donald Trump"
"2680","42055","Donald Trump","PA",49554,69345,0.714600908500973,"Donald Trump"
"2685","37001","Donald Trump","NC",38235,69264,0.552018364518365,"Donald Trump"
"2688","27171","Donald Trump","MN",43274,69154,0.625762790294126,"Donald Trump"
"2697","55073","Donald Trump","WI",39010,68849,0.56660227454284,"Donald Trump"
"2705","51700","Donald Trump","VA",23650,68432,0.345598550385784,"Hillary Clinton"
"2710","13215","Donald Trump","GA",26901,68320,0.39375,"Hillary Clinton"
"2712","22073","Donald Trump","LA",41712,67987,0.613529057025608,"Donald Trump"
"2726","33017","Donald Trump","NH",29064,67966,0.42762557749463,"Hillary Clinton"
"2730","37019","Donald Trump","NC",42440,67255,0.631031150100364,"Donald Trump"
"2733","16055","Donald Trump","ID",44449,66286,0.670563919983103,"Donald Trump"
"2741","18081","Donald Trump","IN",45456,66229,0.686345860574673,"Donald Trump"
"2744","48041","Donald Trump","TX",38662,66036,0.585468532315707,"Donald Trump"
"2748","23011","Donald Trump","ME",31753,65999,0.481113350202276,"Donald Trump"
"2752","36083","Donald Trump","NY",31933,65991,0.483899319604188,"Donald Trump"
"2757","42089","Donald Trump","PA",31706,65944,0.480801892514861,"Hillary Clinton"
"2761","51179","Donald Trump","VA",33840,65350,0.517827084927314,"Donald Trump"
"2766","18039","Donald Trump","IN",41810,65187,0.641385552334054,"Donald Trump"
"2769","30111","Donald Trump","MT",38675,64903,0.595889250111705,"Donald Trump"
"2775","15001","Donald Trump","HI",17500,64865,0.269791104601865,"Hillary Clinton"
"2779","13223","Donald Trump","GA",44646,64601,0.691103852881534,"Donald Trump"
"2783","25003","Donald Trump","MA",16799,64507,0.260421349620971,"Hillary Clinton"
"2787","44009","Donald Trump","RI",27074,64248,0.421398331465571,"Hillary Clinton"
"2791","13073","Donald Trump","GA",43060,64190,0.670821000155787,"Donald Trump"
"2794","28033","Donald Trump","MS",42155,64022,0.658445534347568,"Donald Trump"
"2801","37151","Donald Trump","NC",49156,63615,0.772710838638686,"Donald Trump"
"2804","17179","Donald Trump","IL",38620,63347,0.609657915923406,"Donald Trump"
"2809","19013","Donald Trump","IA",27382,63221,0.433115578684298,"Hillary Clinton"
"2818","37159","Donald Trump","NC",42388,63078,0.671993404990647,"Donald Trump"
"2821","48139","Donald Trump","TX",44807,63064,0.710500443993404,"Donald Trump"
"2826","17161","Donald Trump","IL",26969,62971,0.428276508233949,"Hillary Clinton"
"2830","55063","Donald Trump","WI",26384,62785,0.42022776140798,"Hillary Clinton"
"2836","42107","Donald Trump","PA",43937,62750,0.700191235059761,"Donald Trump"
"2841","45035","Donald Trump","SC",34932,62463,0.559243071898564,"Donald Trump"
"2848","51085","Donald Trump","VA",39592,62313,0.635373036124083,"Donald Trump"
"2853","39173","Donald Trump","OH",31734,62287,0.509480308892706,"Donald Trump"
"2858","51177","Donald Trump","VA",34619,62083,0.557624470466956,"Donald Trump"
"2863","28047","Donald Trump","MS",39710,62076,0.639699722920291,"Donald Trump"
"2870","18157","Donald Trump","IN",30711,61916,0.49601072420699,"Donald Trump"
"2874","36093","Donald Trump","NY",27268,61629,0.442454039494394,"Hillary Clinton"
"2877","48091","Donald Trump","TX",44996,61567,0.730846070134975,"Donald Trump"
"2881","6089","Donald Trump","CA",40447,61493,0.657749662563219,"Donald Trump"
"2887","51650","Donald Trump","VA",17802,61489,0.289515197840264,"Hillary Clinton"
"2891","28121","Donald Trump","MS",46168,61356,0.752461047004368,"Donald Trump"
"2898","13077","Donald Trump","GA",42513,61315,0.693353991682296,"Donald Trump"
"2902","35043","Donald Trump","NM",25748,61146,0.421090504693684,"Hillary Clinton"
"2909","24043","Donald Trump","MD",38842,60731,0.63957451713293,"Donald Trump"
"2913","13113","Donald Trump","GA",35034,60387,0.580157981022405,"Donald Trump"
"2916","42021","Donald Trump","PA",40510,60167,0.673292668738677,"Donald Trump"
"2922","8101","Donald Trump","CO",27746,60112,0.461571732765504,"Hillary Clinton"
"2943","47163","Donald Trump","TN",45577,59860,0.761393250918811,"Donald Trump"
"2950","6107","Donald Trump","CA",33372,59817,0.557901599879633,"Donald Trump"
"2955","39023","Donald Trump","OH",34311,59620,0.57549480040255,"Donald Trump"
"2960","13153","Donald Trump","GA",35351,59559,0.593545895666482,"Donald Trump"
"2963","42075","Donald Trump","PA",38804,58906,0.658744440294707,"Donald Trump"
"2968","26025","Donald Trump","MI",31489,58786,0.535654747729051,"Donald Trump"
"2975","13021","Donald Trump","GA",22589,58327,0.387282047765186,"Hillary Clinton"
"2977","55117","Donald Trump","WI",32368,58290,0.55529250300223,"Donald Trump"
"2984","45041","Donald Trump","SC",29498,57770,0.510611043794357,"Donald Trump"
"2991","22063","Donald Trump","LA",48797,57700,0.845701906412478,"Donald Trump"
"3004","1081","Donald Trump","AL",34321,57668,0.595148089061525,"Donald Trump"
"3009","18105","Donald Trump","IN",20527,57623,0.356229283445846,"Hillary Clinton"
"3011","21015","Donald Trump","KY",39082,57570,0.67886051763071,"Donald Trump"
"3018","30063","Donald Trump","MT",21699,57433,0.377814148660178,"Hillary Clinton"
"3022","12035","Donald Trump","FL",33804,57413,0.588786511765628,"Donald Trump"
"3029","13097","Donald Trump","GA",24803,57365,0.432371655190447,"Hillary Clinton"
"3031","47125","Donald Trump","TN",32320,57278,0.564265512063969,"Donald Trump"
"3038","48251","Donald Trump","TX",44370,57270,0.774751178627554,"Donald Trump"
"3042","48187","Donald Trump","TX",36495,57220,0.637801468018175,"Donald Trump"
"3047","48479","Donald Trump","TX",12946,56867,0.227653999683472,"Hillary Clinton"
"3050","22079","Donald Trump","LA",36814,56838,0.647700482071853,"Donald Trump"
"3063","37089","Donald Trump","NC",35535,56810,0.625506072874494,"Donald Trump"
"3066","48367","Donald Trump","TX",46433,56413,0.823090422420364,"Donald Trump"
"3070","47189","Donald Trump","TN",39304,56286,0.698290871619941,"Donald Trump"
"3078","51003","Donald Trump","VA",19232,56134,0.342608757615705,"Hillary Clinton"
"3082","26045","Donald Trump","MI",27608,55686,0.495779908774198,"Donald Trump"
"3088","37133","Donald Trump","NC",36342,55364,0.65641933386316,"Donald Trump"
"3091","23001","Donald Trump","ME",28189,55340,0.509378388146007,"Donald Trump"
"3095","40017","Donald Trump","OK",39969,55250,0.723420814479638,"Donald Trump"
"3098","26005","Donald Trump","MI",33812,55153,0.613058219861114,"Donald Trump"
"3104","27019","Donald Trump","MN",29057,55102,0.527331131356394,"Donald Trump"
"3113","41043","Donald Trump","OR",32683,54724,0.597233389372122,"Donald Trump"
"3117","22005","Donald Trump","LA",36135,54663,0.661050436309752,"Donald Trump"
"3131","55035","Donald Trump","WI",23301,54080,0.430861686390533,"Hillary Clinton"
"3137","48381","Donald Trump","TX",43379,53813,0.806106331183915,"Donald Trump"
