"","fips","cand","st","votes","total_votes","pct","lead"
"1468","49049","Hillary Clinton","UT",22934,164777,0.139182046037979,"Donald Trump"
"1476","6097","Hillary Clinton","CA",116027,164060,0.707222967207119,"Hillary Clinton"
"1477","6097","Donald Trump","CA",37421,164060,0.22809338047056,"Hillary Clinton"
"1481","1097","Donald Trump","AL",91087,163387,0.557492334151432,"Donald Trump"
"1482","1097","Hillary Clinton","AL",68429,163387,0.418815450433633,"Donald Trump"
"1485","51087","Hillary Clinton","VA",93615,161966,0.577991677265599,"Hillary Clinton"
"1486","51087","Donald Trump","VA",59674,161966,0.368435350629144,"Hillary Clinton"
"1490","5119","Hillary Clinton","AR",89377,159486,0.560406556061347,"Hillary Clinton"
"1491","5119","Donald Trump","AR",61182,159486,0.38361987886084,"Hillary Clinton"
"1498","1089","Donald Trump","AL",89199,159473,0.559336063158027,"Donald Trump"
"1499","1089","Hillary Clinton","AL",62435,159473,0.391508280398563,"Donald Trump"
"1502","34035","Hillary Clinton","NJ",83839,154249,0.543530265998483,"Hillary Clinton"
"1503","34035","Donald Trump","NJ",64640,154249,0.419062684361001,"Hillary Clinton"
"1511","18057","Donald Trump","IN",87299,153630,0.568241879841177,"Donald Trump"
"1512","18057","Hillary Clinton","IN",57214,153630,0.372414242010024,"Donald Trump"
"1514","42077","Hillary Clinton","PA",77087,153031,0.503734537446661,"Hillary Clinton"
"1515","42077","Donald Trump","PA",70285,153031,0.459286027014134,"Hillary Clinton"
"1519","12073","Hillary Clinton","FL",91936,151925,0.60514069442159,"Hillary Clinton"
"1520","12073","Donald Trump","FL",53777,151925,0.353970709231529,"Hillary Clinton"
"1525","12033","Donald Trump","FL",88370,151609,0.582880963531189,"Donald Trump"
"1526","12033","Hillary Clinton","FL",57114,151609,0.376719060214103,"Donald Trump"
"1531","37063","Hillary Clinton","NC",118783,150543,0.789030376703002,"Hillary Clinton"
"1532","37063","Donald Trump","NC",27879,150543,0.185189613598772,"Hillary Clinton"
"1534","24027","Hillary Clinton","MD",93808,146401,0.640760650542004,"Hillary Clinton"
"1535","24027","Donald Trump","MD",44792,146401,0.305954194301951,"Hillary Clinton"
"1538","18003","Donald Trump","IN",83801,145787,0.574818056479659,"Donald Trump"
"1539","18003","Hillary Clinton","IN",55222,145787,0.378785488418035,"Donald Trump"
"1541","26139","Donald Trump","MI",90456,145405,0.622096901757161,"Donald Trump"
"1542","26139","Hillary Clinton","MI",46276,145405,0.318255905917953,"Donald Trump"
"1547","51153","Hillary Clinton","VA",83093,144854,0.573632761263065,"Hillary Clinton"
"1548","51153","Donald Trump","VA",54065,144854,0.373237880900769,"Hillary Clinton"
"1552","27163","Hillary Clinton","MN",67086,142843,0.469648495201025,"Hillary Clinton"
"1553","27163","Donald Trump","MN",64429,142843,0.451047653717718,"Hillary Clinton"
"1561","42095","Donald Trump","PA",71384,142775,0.499975485904395,"Donald Trump"
"1562","42095","Hillary Clinton","PA",65936,142775,0.461817545088426,"Donald Trump"
"1566","34021","Hillary Clinton","NJ",93721,141332,0.663126538929613,"Hillary Clinton"
"1567","34021","Donald Trump","NJ",42604,141332,0.301446240058868,"Hillary Clinton"
"1575","6095","Hillary Clinton","CA",87419,141218,0.619035816963843,"Hillary Clinton"
"1576","6095","Donald Trump","CA",45641,141218,0.323195343369825,"Hillary Clinton"
"1580","47065","Donald Trump","TN",78661,141088,0.557531469721025,"Donald Trump"
"1581","47065","Hillary Clinton","TN",55260,141088,0.391670446813336,"Donald Trump"
"1587","36071","Donald Trump","NY",72129,140753,0.512450889146235,"Donald Trump"
"1588","36071","Hillary Clinton","NY",63037,140753,0.447855463116239,"Donald Trump"
"1591","12111","Donald Trump","FL",70248,140731,0.499165073793265,"Donald Trump"
"1592","12111","Hillary Clinton","FL",66812,140731,0.474749699781853,"Donald Trump"
"1597","17111","Donald Trump","IL",71117,140145,0.507452995112205,"Donald Trump"
"1598","17111","Hillary Clinton","IL",59827,140145,0.426893574512112,"Donald Trump"
"1601","12097","Hillary Clinton","FL",85287,139981,0.609275544538187,"Hillary Clinton"
"1602","12097","Donald Trump","FL",50252,139981,0.358991577428365,"Hillary Clinton"
"1607","6083","Hillary Clinton","CA",85147,139366,0.610959631473961,"Hillary Clinton"
"1608","6083","Donald Trump","CA",45788,139366,0.328544982276882,"Hillary Clinton"
"1612","34015","Donald Trump","NJ",66949,138388,0.48377749515854,"Donald Trump"
"1613","34015","Hillary Clinton","NJ",66355,138388,0.479485215481111,"Donald Trump"
"1621","39093","Donald Trump","OH",65346,136654,0.478185783072577,"Donald Trump"
"1622","39093","Hillary Clinton","OH",64958,136654,0.475346495528854,"Donald Trump"
"1626","12109","Donald Trump","FL",88633,136392,0.649840166578685,"Donald Trump"
"1627","12109","Hillary Clinton","FL",43037,136392,0.315539034547481,"Donald Trump"
"1632","21067","Hillary Clinton","KY",69776,136239,0.512158779791396,"Hillary Clinton"
"1633","21067","Donald Trump","KY",56890,136239,0.417574996880482,"Hillary Clinton"
"1638","37021","Hillary Clinton","NC",74937,134507,0.557123421085891,"Hillary Clinton"
"1639","37021","Donald Trump","NC",55339,134507,0.411420966938524,"Hillary Clinton"
"1641","6077","Hillary Clinton","CA",71349,134076,0.532153405531191,"Hillary Clinton"
"1642","6077","Donald Trump","CA",56194,134076,0.419120498821564,"Hillary Clinton"
"1646","8123","Donald Trump","CO",75882,133790,0.567172434412138,"Donald Trump"
"1647","8123","Hillary Clinton","CO",45869,133790,0.342843261828238,"Donald Trump"
"1668","26065","Hillary Clinton","MI",81266,133478,0.608834414660094,"Hillary Clinton"
"1669","26065","Donald Trump","MI",44354,133478,0.332294460510346,"Hillary Clinton"
"1674","42079","Donald Trump","PA",77508,132731,0.583947985022338,"Donald Trump"
"1675","42079","Hillary Clinton","PA",51454,132731,0.387656237050877,"Donald Trump"
"1679","25001","Hillary Clinton","MA",71632,132667,0.539938341863463,"Hillary Clinton"
"1680","25001","Donald Trump","MA",53842,132667,0.405843201398991,"Hillary Clinton"
"1683","42043","Hillary Clinton","PA",64287,130160,0.49390749846343,"Hillary Clinton"
"1684","42043","Donald Trump","PA",60620,130160,0.465734480639213,"Hillary Clinton"
"1688","31109","Hillary Clinton","NE",60533,129803,0.466345153810004,"Hillary Clinton"
"1689","31109","Donald Trump","NE",60456,129803,0.465751947181498,"Hillary Clinton"
"1692","17119","Donald Trump","IL",70295,127902,0.549600475363951,"Donald Trump"
"1693","17119","Hillary Clinton","IL",50336,127902,0.393551312723804,"Donald Trump"
"1696","12001","Hillary Clinton","FL",75370,127827,0.589625040093251,"Hillary Clinton"
"1697","12001","Donald Trump","FL",46584,127827,0.364430049989439,"Hillary Clinton"
"1702","29077","Donald Trump","MO",77387,127609,0.606438417353008,"Donald Trump"
"1703","29077","Hillary Clinton","MO",42400,127609,0.33226496563722,"Donald Trump"
"1707","55009","Donald Trump","WI",67192,127497,0.52700847863087,"Donald Trump"
"1708","55009","Hillary Clinton","WI",53358,127497,0.418503964799172,"Donald Trump"
"1714","29510","Hillary Clinton","MO",101487,127403,0.796582498057346,"Hillary Clinton"
"1715","29510","Donald Trump","MO",20281,127403,0.159187774228236,"Hillary Clinton"
"1719","26077","Hillary Clinton","MI",67142,125966,0.533016845815538,"Hillary Clinton"
"1720","26077","Donald Trump","MI",51031,125966,0.405117253862153,"Hillary Clinton"
"1725","36001","Hillary Clinton","NY",74775,125644,0.595133870300213,"Hillary Clinton"
"1726","36001","Donald Trump","NY",44227,125644,0.35200248320652,"Hillary Clinton"
