"","fips","cand","st","votes","total_votes","pct","lead"
"1800","42049","Hillary Clinton","PA",54820,117240,0.467587853974753,"Donald Trump"
"1804","53067","Hillary Clinton","WA",62130,116839,0.531757375533854,"Hillary Clinton"
"1812","42041","Hillary Clinton","PA",44282,115068,0.384833315952306,"Donald Trump"
"1817","24021","Hillary Clinton","MD",51891,114962,0.451375237034846,"Donald Trump"
"1820","19113","Hillary Clinton","IA",58481,114664,0.510020581873997,"Hillary Clinton"
"1831","39165","Hillary Clinton","OH",33036,114254,0.28914523780349,"Donald Trump"
"1835","23031","Hillary Clinton","ME",55828,113962,0.489882592443095,"Hillary Clinton"
"1840","45091","Hillary Clinton","SC",41230,113425,0.363500110204981,"Donald Trump"
"1847","17201","Hillary Clinton","IL",52595,113027,0.465331292523025,"Donald Trump"
"1850","39099","Hillary Clinton","OH",56188,112827,0.498001364921517,"Hillary Clinton"
"1856","39085","Hillary Clinton","OH",45056,112790,0.399468037946626,"Donald Trump"
"1861","51550","Hillary Clinton","VA",52554,111827,0.469958060218015,"Donald Trump"
"1865","27137","Hillary Clinton","MN",57769,111260,0.519225238180838,"Hillary Clinton"
"1875","13057","Hillary Clinton","GA",25203,110825,0.227412587412587,"Donald Trump"
"1878","41047","Hillary Clinton","OR",48803,110804,0.440444388289231,"Donald Trump"
"1881","53035","Hillary Clinton","WA",57049,110419,0.516659270596546,"Hillary Clinton"
"1889","6099","Hillary Clinton","CA",51171,109582,0.466965377525506,"Donald Trump"
"1893","18141","Hillary Clinton","IN",52247,109452,0.477350802178124,"Hillary Clinton"
"1897","40027","Hillary Clinton","OK",38790,109326,0.354810383623292,"Donald Trump"
"1900","29047","Hillary Clinton","MO",45182,109237,0.413614434669572,"Donald Trump"
"1905","37129","Hillary Clinton","NC",50219,108737,0.461839116400121,"Donald Trump"
"1908","47149","Hillary Clinton","TN",36627,106518,0.343857376218104,"Donald Trump"
"1915","12019","Hillary Clinton","FL",27768,106363,0.261068228613334,"Donald Trump"
"1920","6079","Hillary Clinton","CA",53911,106021,0.508493600324464,"Hillary Clinton"
"1925","13051","Hillary Clinton","GA",58998,106013,0.556516653617953,"Hillary Clinton"
"1929","29099","Hillary Clinton","MO",31546,105969,0.297690834111863,"Donald Trump"
"1934","10005","Hillary Clinton","DE",39329,105814,0.371680495964617,"Donald Trump"
"1937","34001","Hillary Clinton","NJ",54472,105738,0.515160112731468,"Hillary Clinton"
"1946","22017","Hillary Clinton","LA",53448,105737,0.505480579172853,"Hillary Clinton"
"1960","22055","Hillary Clinton","LA",32726,105599,0.309908237767403,"Donald Trump"
"1973","26093","Hillary Clinton","MI",34378,105577,0.325620163482577,"Donald Trump"
"1979","6061","Hillary Clinton","CA",43915,105157,0.417613663379518,"Donald Trump"
"1984","47187","Hillary Clinton","TN",30992,104700,0.296007640878701,"Donald Trump"
"1990","53073","Hillary Clinton","WA",57197,104241,0.548699647931236,"Hillary Clinton"
"1998","36091","Hillary Clinton","NY",46546,104089,0.447175013690207,"Donald Trump"
"2002","48355","Hillary Clinton","TX",49102,103958,0.47232536216549,"Donald Trump"
"2006","41029","Hillary Clinton","OR",43550,103789,0.419601306496835,"Donald Trump"
"2010","37179","Hillary Clinton","NC",34051,103596,0.328690296922661,"Donald Trump"
"2012","42069","Hillary Clinton","PA",51593,102740,0.50217052754526,"Hillary Clinton"
"2018","12091","Hillary Clinton","FL",23711,100657,0.235562355325511,"Donald Trump"
"2024","39041","Hillary Clinton","OH",39584,100101,0.395440604988961,"Donald Trump"
"2029","1117","Hillary Clinton","AL",22927,99208,0.231100314490767,"Donald Trump"
"2033","48303","Hillary Clinton","TX",27956,98060,0.285090760758719,"Donald Trump"
"2036","13151","Hillary Clinton","GA",49902,98037,0.509011903669023,"Hillary Clinton"
"2040","9005","Hillary Clinton","CT",39836,97434,0.408851119732332,"Donald Trump"
"2044","13117","Hillary Clinton","GA",23427,97314,0.240736173623528,"Donald Trump"
"2047","42125","Hillary Clinton","PA",34436,96945,0.355211717984424,"Donald Trump"
"2052","5007","Hillary Clinton","AR",27894,96556,0.288889349185965,"Donald Trump"
"2060","17167","Hillary Clinton","IL",40731,96472,0.422205406750145,"Donald Trump"
"2064","39025","Hillary Clinton","OH",26096,96455,0.270551034161008,"Donald Trump"
"2069","12015","Hillary Clinton","FL",33421,96323,0.34696801387,"Donald Trump"
"2075","55087","Hillary Clinton","WI",38117,95162,0.400548538282087,"Donald Trump"
"2082","37071","Hillary Clinton","NC",30982,94872,0.326566320937684,"Donald Trump"
"2084","51760","Hillary Clinton","VA",74640,94724,0.787973480849626,"Hillary Clinton"
"2089","1101","Hillary Clinton","AL",58669,94572,0.620363321067546,"Hillary Clinton"
"2094","26145","Hillary Clinton","MI",44395,94198,0.47129450731438,"Donald Trump"
"2100","1003","Hillary Clinton","AL",18409,94090,0.195653098097566,"Donald Trump"
"2104","39155","Hillary Clinton","OH",42130,94073,0.44784369585322,"Donald Trump"
"2109","48027","Hillary Clinton","TX",37608,93999,0.400089362652794,"Donald Trump"
"2113","12053","Hillary Clinton","FL",31818,93878,0.338929248599246,"Donald Trump"
"2119","4021","Hillary Clinton","AZ",35737,93805,0.380971163584031,"Donald Trump"
"2123","55101","Hillary Clinton","WI",42506,93678,0.453745810115502,"Donald Trump"
"2130","4025","Hillary Clinton","AZ",29705,92780,0.320165984048286,"Donald Trump"
"2134","42019","Hillary Clinton","PA",26834,92027,0.291588338205092,"Donald Trump"
"2140","49011","Hillary Clinton","UT",20206,91822,0.220056195682952,"Donald Trump"
"2148","48061","Hillary Clinton","TX",59319,91804,0.646148315977517,"Hillary Clinton"
"2152","28049","Hillary Clinton","MS",64922,91536,0.709251005069044,"Hillary Clinton"
"2160","37025","Hillary Clinton","NC",35048,91002,0.385134392650711,"Donald Trump"
"2163","41017","Hillary Clinton","OR",40222,90584,0.444029850746269,"Donald Trump"
"2167","39103","Hillary Clinton","OH",31582,89360,0.353424350940018,"Donald Trump"
"2171","13063","Hillary Clinton","GA",75908,89236,0.850643238155005,"Hillary Clinton"
"2174","17019","Hillary Clinton","IL",49694,89196,0.557132606843356,"Hillary Clinton"
"2178","9007","Hillary Clinton","CT",45306,88402,0.512499717200968,"Hillary Clinton"
"2182","6041","Hillary Clinton","CA",69518,88115,0.788946263405777,"Hillary Clinton"
"2188","12113","Hillary Clinton","FL",18398,87432,0.21042638850764,"Donald Trump"
"2194","48245","Hillary Clinton","TX",42404,87363,0.485377104723968,"Donald Trump"
"2198","12005","Hillary Clinton","FL",21689,87151,0.248866909157669,"Donald Trump"
"2204","36063","Hillary Clinton","NY",32888,86000,0.382418604651163,"Donald Trump"
"2208","55139","Hillary Clinton","WI",37054,85892,0.43140222605132,"Donald Trump"
"2215","12085","Hillary Clinton","FL",30158,85741,0.351733709660489,"Donald Trump"
"2221","24013","Hillary Clinton","MD",24314,84879,0.286454835707301,"Donald Trump"
"2224","19163","Hillary Clinton","IA",40302,84878,0.474822686679705,"Hillary Clinton"
"2235","37101","Hillary Clinton","NC",28153,84553,0.332962757087271,"Donald Trump"
"2238","36065","Hillary Clinton","NY",30749,83876,0.366600696265916,"Donald Trump"
"2242","22019","Hillary Clinton","LA",26293,83773,0.313860074248266,"Donald Trump"
"2254","29019","Hillary Clinton","MO",41072,83312,0.492990205492606,"Hillary Clinton"
"2260","48423","Hillary Clinton","TX",22128,83161,0.266086266398913,"Donald Trump"
"2263","25015","Hillary Clinton","MA",54572,82329,0.662852700749432,"Hillary Clinton"
"2267","33013","Hillary Clinton","NH",40056,81726,0.49012554144336,"Hillary Clinton"
"2273","1125","Hillary Clinton","AL",31746,81708,0.388529886914378,"Donald Trump"
"2277","49057","Hillary Clinton","UT",22187,81451,0.272396901204405,"Donald Trump"
"2287","37097","Hillary Clinton","NC",24441,80727,0.302761157976885,"Donald Trump"
"2290","45007","Hillary Clinton","SC",21040,80296,0.26203048719737,"Donald Trump"
"2296","6087","Hillary Clinton","CA",60529,80273,0.754039340749692,"Hillary Clinton"
"2302","23019","Hillary Clinton","ME",32832,80228,0.409233684000598,"Donald Trump"
"2306","12061","Hillary Clinton","FL",28997,79897,0.362929772081555,"Donald Trump"
"2311","37135","Hillary Clinton","NC",59105,79830,0.740385819867218,"Hillary Clinton"
"2315","44003","Hillary Clinton","RI",37582,79822,0.470822580241036,"Donald Trump"
