precinct,candidate,votes
04-485 Fairbanks No. 6,Johnson,11
04-485 Fairbanks No. 6,Obama,162
04-485 Fairbanks No. 6,Romney,183
04-485 Fairbanks No. 6,Stein,3
04-485 Fairbanks No. 6,Write-In,6
04-490 Fairbanks No. 7,Johnson,19
04-490 Fairbanks No. 7,Obama,272
04-490 Fairbanks No. 7,Romney,244
04-490 Fairbanks No. 7,Stein,7
04-490 Fairbanks No. 7,Write-In,4
04-495 Fairbanks No. 10,Johnson,5
04-495 Fairbanks No. 10,Obama,78
04-495 Fairbanks No. 10,Romney,129
04-495 Fairbanks No. 10,Stein,5
04-495 Fairbanks No. 10,Write-In,3
04-499 Lakeview,Johnson,9
04-499 Lakeview,Obama,45
04-499 Lakeview,Romney,127
04-499 Lakeview,Stein,0
04-499 Lakeview,Write-In,3
04-Absentee,Johnson,26
04-Absentee,Obama,392
04-Absentee,Romney,590
04-Absentee,Stein,5
04-Absentee,Write-In,9
04-Early Voting,Johnson,16
04-Early Voting,Obama,426
04-Early Voting,Romney,322
04-Early Voting,Stein,7
04-Early Voting,Write-In,3
04-Question,Johnson,20
04-Question,Obama,237
04-Question,Romney,265
04-Question,Stein,7
04-Question,Write-In,8
05-580 Airport,Johnson,5
05-580 Airport,Obama,44
05-580 Airport,Romney,116
05-580 Airport,Stein,3
05-580 Airport,Write-In,0
05-582 Chena,Johnson,58
05-582 Chena,Obama,828
05-582 Chena,Romney,917
05-582 Chena,Stein,27
05-582 Chena,Write-In,22
05-584 Farmers Loop,Johnson,19
05-584 Farmers Loop,Obama,325
05-584 Farmers Loop,Romney,228
05-584 Farmers Loop,Stein,10
05-584 Farmers Loop,Write-In,7
05-586 Geist,Johnson,16
05-586 Geist,Obama,328
05-586 Geist,Romney,371
05-586 Geist,Stein,8
05-586 Geist,Write-In,11
05-588 Pike,Johnson,6
05-588 Pike,Obama,89
05-588 Pike,Romney,140
05-588 Pike,Stein,1
05-588 Pike,Write-In,3
05-590 Salcha No. 2,Johnson,7
05-590 Salcha No. 2,Obama,14
05-590 Salcha No. 2,Romney,137
05-590 Salcha No. 2,Stein,0
05-590 Salcha No. 2,Write-In,1
05-592 Shanly,Johnson,19
