precinct,candidate,votes
16-Question,Romney,281
16-Question,Stein,3
16-Question,Write-In,10
17-500 North Mt View No. 1,Johnson,24
17-500 North Mt View No. 1,Obama,307
17-500 North Mt View No. 1,Romney,158
17-500 North Mt View No. 1,Stein,7
17-500 North Mt View No. 1,Write-In,8
17-505 North Mt View No. 2,Johnson,10
17-505 North Mt View No. 2,Obama,316
17-505 North Mt View No. 2,Romney,161
17-505 North Mt View No. 2,Stein,3
17-505 North Mt View No. 2,Write-In,3
17-510 South Mt View No. 1,Johnson,17
17-510 South Mt View No. 1,Obama,372
17-510 South Mt View No. 1,Romney,266
17-510 South Mt View No. 1,Stein,3
17-510 South Mt View No. 1,Write-In,7
17-515 South Mt View No. 2,Johnson,8
17-515 South Mt View No. 2,Obama,156
17-515 South Mt View No. 2,Romney,104
17-515 South Mt View No. 2,Stein,1
17-515 South Mt View No. 2,Write-In,3
17-520 Airport Heights No. 1,Johnson,17
17-520 Airport Heights No. 1,Obama,322
17-520 Airport Heights No. 1,Romney,230
17-520 Airport Heights No. 1,Stein,2
17-520 Airport Heights No. 1,Write-In,8
17-525 Airport Heights No. 2,Johnson,15
17-525 Airport Heights No. 2,Obama,549
17-525 Airport Heights No. 2,Romney,282
17-525 Airport Heights No. 2,Stein,9
17-525 Airport Heights No. 2,Write-In,6
17-Absentee,Johnson,9
17-Absentee,Obama,366
17-Absentee,Romney,208
17-Absentee,Stein,10
17-Absentee,Write-In,6
17-Early Voting,Johnson,1
17-Early Voting,Obama,179
17-Early Voting,Romney,59
17-Early Voting,Stein,1
17-Early Voting,Write-In,1
17-Question,Johnson,7
17-Question,Obama,286
17-Question,Romney,74
17-Question,Stein,1
17-Question,Write-In,7
18-530 Government Hill,Johnson,13
18-530 Government Hill,Obama,271
18-530 Government Hill,Romney,190
18-530 Government Hill,Stein,9
18-530 Government Hill,Write-In,6
18-535 Merrill Field,Johnson,22
18-535 Merrill Field,Obama,511
18-535 Merrill Field,Romney,309
18-535 Merrill Field,Stein,8
18-535 Merrill Field,Write-In,8
18-540 Downtown Anch No. 1,Johnson,10
18-540 Downtown Anch No. 1,Obama,179
18-540 Downtown Anch No. 1,Romney,113
18-540 Downtown Anch No. 1,Stein,6
18-540 Downtown Anch No. 1,Write-In,0
18-545 Downtown Anch No. 2,Johnson,10
18-545 Downtown Anch No. 2,Obama,263
18-545 Downtown Anch No. 2,Romney,157
18-545 Downtown Anch No. 2,Stein,5
18-545 Downtown Anch No. 2,Write-In,2
18-550 Downtown Anch No. 3,Johnson,5
18-550 Downtown Anch No. 3,Obama,96
18-550 Downtown Anch No. 3,Romney,112
18-550 Downtown Anch No. 3,Stein,2
18-550 Downtown Anch No. 3,Write-In,4
18-555 Downtown Anch No. 4,Johnson,21
18-555 Downtown Anch No. 4,Obama,348
18-555 Downtown Anch No. 4,Romney,211
18-555 Downtown Anch No. 4,Stein,13
18-555 Downtown Anch No. 4,Write-In,8
18-560 Westchester No. 1,Johnson,8
18-560 Westchester No. 1,Obama,366
18-560 Westchester No. 1,Romney,177
18-560 Westchester No. 1,Stein,3
18-560 Westchester No. 1,Write-In,2
18-565 Westchester No. 2,Johnson,8
18-565 Westchester No. 2,Obama,236
18-565 Westchester No. 2,Romney,101
18-565 Westchester No. 2,Stein,5
18-565 Westchester No. 2,Write-In,2
18-570 Fairview,Johnson,10
18-570 Fairview,Obama,312
18-570 Fairview,Romney,155
18-570 Fairview,Stein,5
18-570 Fairview,Write-In,8
18-Absentee,Johnson,34
18-Absentee,Obama,954
18-Absentee,Romney,525
18-Absentee,Stein,18
18-Absentee,Write-In,18
18-Early Voting,Johnson,8
18-Early Voting,Obama,390
18-Early Voting,Romney,163
18-Early Voting,Stein,7
18-Early Voting,Write-In,1
18-Question,Johnson,14
18-Question,Obama,321
18-Question,Romney,156
18-Question,Stein,4
18-Question,Write-In,7
19-600 Inlet View No. 2,Johnson,23
19-600 Inlet View No. 2,Obama,558
19-600 Inlet View No. 2,Romney,383
19-600 Inlet View No. 2,Stein,5
19-600 Inlet View No. 2,Write-In,7
19-605 Conners Lake,Johnson,19
19-605 Conners Lake,Obama,317
19-605 Conners Lake,Romney,419
19-605 Conners Lake,Stein,2
19-605 Conners Lake,Write-In,5
19-610 Sand Lake No. 1,Johnson,15
19-610 Sand Lake No. 1,Obama,288
19-610 Sand Lake No. 1,Romney,367
19-610 Sand Lake No. 1,Stein,3
19-610 Sand Lake No. 1,Write-In,14
19-615 Sand Lake No. 2,Johnson,10
19-615 Sand Lake No. 2,Obama,257
19-615 Sand Lake No. 2,Romney,261
19-615 Sand Lake No. 2,Stein,7
19-615 Sand Lake No. 2,Write-In,7
19-620 Lake Spenard,Johnson,15
19-620 Lake Spenard,Obama,313
19-620 Lake Spenard,Romney,326
19-620 Lake Spenard,Stein,5
19-620 Lake Spenard,Write-In,2
19-625 Lake Hood,Johnson,16
19-625 Lake Hood,Obama,455
19-625 Lake Hood,Romney,396
19-625 Lake Hood,Stein,2
19-625 Lake Hood,Write-In,8
19-630 Turnagain No. 3,Johnson,11
19-630 Turnagain No. 3,Obama,252
19-630 Turnagain No. 3,Romney,186
19-630 Turnagain No. 3,Stein,2
19-630 Turnagain No. 3,Write-In,3
19-635 Turnagain No. 4,Johnson,20
19-635 Turnagain No. 4,Obama,432
19-635 Turnagain No. 4,Romney,381
19-635 Turnagain No. 4,Stein,6
19-635 Turnagain No. 4,Write-In,9
19-Absentee,Johnson,26
19-Absentee,Obama,660
19-Absentee,Romney,705
19-Absentee,Stein,11
19-Absentee,Write-In,7
19-Early Voting,Johnson,5
19-Early Voting,Obama,415
19-Early Voting,Romney,263
19-Early Voting,Stein,9
19-Early Voting,Write-In,1
19-Question,Johnson,19
19-Question,Obama,179
19-Question,Romney,168
19-Question,Stein,5
19-Question,Write-In,6
20-640 Dimond No. 1,Johnson,20
20-640 Dimond No. 1,Obama,332
20-640 Dimond No. 1,Romney,551
20-640 Dimond No. 1,Stein,8
20-640 Dimond No. 1,Write-In,8
20-645 Kincaid,Johnson,21
20-645 Kincaid,Obama,424
20-645 Kincaid,Romney,836
20-645 Kincaid,Stein,13
20-645 Kincaid,Write-In,18
20-650 Jewel Lake No. 1,Johnson,13
20-650 Jewel Lake No. 1,Obama,277
20-650 Jewel Lake No. 1,Romney,326
20-650 Jewel Lake No. 1,Stein,3
20-650 Jewel Lake No. 1,Write-In,10
20-655 Jewel Lake No. 2,Johnson,14
20-655 Jewel Lake No. 2,Obama,263
20-655 Jewel Lake No. 2,Romney,368
20-655 Jewel Lake No. 2,Stein,5
20-655 Jewel Lake No. 2,Write-In,9
20-660 Campbell Lake,Johnson,40
20-660 Campbell Lake,Obama,427
20-660 Campbell Lake,Romney,585
20-660 Campbell Lake,Stein,8
20-660 Campbell Lake,Write-In,14
20-665 Sand Lake No. 3,Johnson,20
20-665 Sand Lake No. 3,Obama,303
20-665 Sand Lake No. 3,Romney,457
20-665 Sand Lake No. 3,Stein,13
20-665 Sand Lake No. 3,Write-In,12
20-670 Sand Lake No. 4,Johnson,11
20-670 Sand Lake No. 4,Obama,147
20-670 Sand Lake No. 4,Romney,192
20-670 Sand Lake No. 4,Stein,2
20-670 Sand Lake No. 4,Write-In,2
20-Absentee,Johnson,25
20-Absentee,Obama,462
20-Absentee,Romney,732
20-Absentee,Stein,7
20-Absentee,Write-In,7
20-Early Voting,Johnson,9
20-Early Voting,Obama,269
20-Early Voting,Romney,304
20-Early Voting,Stein,2
20-Early Voting,Write-In,5
20-Question,Johnson,11
20-Question,Obama,177
20-Question,Romney,193
20-Question,Stein,5
20-Question,Write-In,4
21-700 Huffman No. 1,Johnson,24
21-700 Huffman No. 1,Obama,319
21-700 Huffman No. 1,Romney,501
21-700 Huffman No. 1,Stein,3
21-700 Huffman No. 1,Write-In,13
21-705 Huffman No. 2,Johnson,6
21-705 Huffman No. 2,Obama,245
21-705 Huffman No. 2,Romney,386
21-705 Huffman No. 2,Stein,8
21-705 Huffman No. 2,Write-In,9
21-710 Klatt,Johnson,11
21-710 Klatt,Obama,327
21-710 Klatt,Romney,629
21-710 Klatt,Stein,3
21-710 Klatt,Write-In,12
21-715 Southport,Johnson,13
21-715 Southport,Obama,296
21-715 Southport,Romney,478
21-715 Southport,Stein,2
21-715 Southport,Write-In,4
21-720 Ocean View No. 1,Johnson,22
21-720 Ocean View No. 1,Obama,263
21-720 Ocean View No. 1,Romney,395
21-720 Ocean View No. 1,Stein,4
21-720 Ocean View No. 1,Write-In,6
21-725 Ocean View No. 2,Johnson,21
21-725 Ocean View No. 2,Obama,381
21-725 Ocean View No. 2,Romney,613
21-725 Ocean View No. 2,Stein,5
21-725 Ocean View No. 2,Write-In,6
21-730 Bayshore,Johnson,21
21-730 Bayshore,Obama,460
21-730 Bayshore,Romney,769
21-730 Bayshore,Stein,8
21-730 Bayshore,Write-In,6
21-Absentee,Johnson,19
21-Absentee,Obama,541
21-Absentee,Romney,791
21-Absentee,Stein,9
21-Absentee,Write-In,12
21-Early Voting,Johnson,10
21-Early Voting,Obama,333
21-Early Voting,Romney,471
21-Early Voting,Stein,6
21-Early Voting,Write-In,6
21-Question,Johnson,9
21-Question,Obama,151
21-Question,Romney,229
21-Question,Stein,4
21-Question,Write-In,6
22-735 Northwood,Johnson,12
22-735 Northwood,Obama,184
22-735 Northwood,Romney,201
22-735 Northwood,Stein,2
22-735 Northwood,Write-In,6
22-740 Arctic,Johnson,12
22-740 Arctic,Obama,308
22-740 Arctic,Romney,326
22-740 Arctic,Stein,8
22-740 Arctic,Write-In,2
22-745 Midtown No. 3,Johnson,9
22-745 Midtown No. 3,Obama,128
22-745 Midtown No. 3,Romney,166
22-745 Midtown No. 3,Stein,0
22-745 Midtown No. 3,Write-In,4
22-750 Taku,Johnson,22
22-750 Taku,Obama,297
22-750 Taku,Romney,393
22-750 Taku,Stein,4
22-750 Taku,Write-In,8
22-755 Campbell Creek No. 1,Johnson,14
22-755 Campbell Creek No. 1,Obama,271
22-755 Campbell Creek No. 1,Romney,350
22-755 Campbell Creek No. 1,Stein,4
22-755 Campbell Creek No. 1,Write-In,6
22-760 Campbell Creek No. 2,Johnson,9
22-760 Campbell Creek No. 2,Obama,236
22-760 Campbell Creek No. 2,Romney,240
22-760 Campbell Creek No. 2,Stein,5
22-760 Campbell Creek No. 2,Write-In,4
22-765 Campbell Creek No. 3,Johnson,16
22-765 Campbell Creek No. 3,Obama,327
22-765 Campbell Creek No. 3,Romney,430
22-765 Campbell Creek No. 3,Stein,5
22-765 Campbell Creek No. 3,Write-In,6
22-770 Dimond No. 2,Johnson,8
22-770 Dimond No. 2,Obama,237
22-770 Dimond No. 2,Romney,299
22-770 Dimond No. 2,Stein,4
22-770 Dimond No. 2,Write-In,5
22-Absentee,Johnson,28
22-Absentee,Obama,424
22-Absentee,Romney,605
22-Absentee,Stein,11
22-Absentee,Write-In,10
22-Early Voting,Johnson,5
22-Early Voting,Obama,267
22-Early Voting,Romney,236
22-Early Voting,Stein,3
22-Early Voting,Write-In,2
22-Question,Johnson,8
22-Question,Obama,180
22-Question,Romney,199
22-Question,Stein,5
22-Question,Write-In,4
23-800 Abbott Loop No. 1,Johnson,15
23-800 Abbott Loop No. 1,Obama,387
23-800 Abbott Loop No. 1,Romney,488
23-800 Abbott Loop No. 1,Stein,4
23-800 Abbott Loop No. 1,Write-In,4
23-805 Abbott Loop No. 2,Johnson,16
23-805 Abbott Loop No. 2,Obama,249
23-805 Abbott Loop No. 2,Romney,459
23-805 Abbott Loop No. 2,Stein,10
23-805 Abbott Loop No. 2,Write-In,0
23-810 Huffman No. 3,Johnson,10
23-810 Huffman No. 3,Obama,162
23-810 Huffman No. 3,Romney,454
23-810 Huffman No. 3,Stein,3
23-810 Huffman No. 3,Write-In,3
23-815 Huffman No. 4,Johnson,19
23-815 Huffman No. 4,Obama,314
23-815 Huffman No. 4,Romney,620
23-815 Huffman No. 4,Stein,2
23-815 Huffman No. 4,Write-In,7
23-820 Huffman No. 5,Johnson,28
23-820 Huffman No. 5,Obama,411
23-820 Huffman No. 5,Romney,609
23-820 Huffman No. 5,Stein,4
23-820 Huffman No. 5,Write-In,9
23-825 Independence Park No. 1,Johnson,11
23-825 Independence Park No. 1,Obama,297
23-825 Independence Park No. 1,Romney,341
23-825 Independence Park No. 1,Stein,4
23-825 Independence Park No. 1,Write-In,12
23-830 Independence Park No. 2,Johnson,7
23-830 Independence Park No. 2,Obama,153
23-830 Independence Park No. 2,Romney,252
23-830 Independence Park No. 2,Stein,1
23-830 Independence Park No. 2,Write-In,1
23-835 O'Malley,Johnson,16
23-835 O'Malley,Obama,143
23-835 O'Malley,Romney,173
23-835 O'Malley,Stein,4
23-835 O'Malley,Write-In,2
23-Absentee,Johnson,28
23-Absentee,Obama,524
23-Absentee,Romney,803
23-Absentee,Stein,11
23-Absentee,Write-In,14
23-Early Voting,Johnson,9
23-Early Voting,Obama,344
23-Early Voting,Romney,470
23-Early Voting,Stein,5
23-Early Voting,Write-In,2
23-Question,Johnson,4
23-Question,Obama,183
23-Question,Romney,257
23-Question,Stein,6
23-Question,Write-In,6
24-840 East Dowling,Johnson,7
24-840 East Dowling,Obama,105
24-840 East Dowling,Romney,95
24-840 East Dowling,Stein,2
24-840 East Dowling,Write-In,1
24-845 Abbott Loop No. 3,Johnson,29
24-845 Abbott Loop No. 3,Obama,436
24-845 Abbott Loop No. 3,Romney,637
24-845 Abbott Loop No. 3,Stein,8
24-845 Abbott Loop No. 3,Write-In,15
24-850 Abbott Loop No. 4,Johnson,16
24-850 Abbott Loop No. 4,Obama,399
24-850 Abbott Loop No. 4,Romney,502
24-850 Abbott Loop No. 4,Stein,2
24-850 Abbott Loop No. 4,Write-In,4
24-855 Lore No. 1,Johnson,20
24-855 Lore No. 1,Obama,334
24-855 Lore No. 1,Romney,503
24-855 Lore No. 1,Stein,8
24-855 Lore No. 1,Write-In,1
24-860 Lore No. 2,Johnson,24
24-860 Lore No. 2,Obama,295
24-860 Lore No. 2,Romney,395
24-860 Lore No. 2,Stein,7
24-860 Lore No. 2,Write-In,4
24-865 Independence Park No. 3,Johnson,11
24-865 Independence Park No. 3,Obama,244
24-865 Independence Park No. 3,Romney,323
24-865 Independence Park No. 3,Stein,0
24-865 Independence Park No. 3,Write-In,6
24-870 Laurel/Dowling,Johnson,16
24-870 Laurel/Dowling,Obama,343
24-870 Laurel/Dowling,Romney,424
24-870 Laurel/Dowling,Stein,8
24-870 Laurel/Dowling,Write-In,7
24-Absentee,Johnson,18
24-Absentee,Obama,429
24-Absentee,Romney,502
24-Absentee,Stein,6
24-Absentee,Write-In,8
24-Early Voting,Johnson,3
24-Early Voting,Obama,331
24-Early Voting,Romney,317
24-Early Voting,Stein,4
24-Early Voting,Write-In,0
24-Question,Johnson,7
24-Question,Obama,212
24-Question,Romney,214
24-Question,Stein,3
24-Question,Write-In,4
25-900 Cheney Lake,Johnson,24
25-900 Cheney Lake,Obama,436
25-900 Cheney Lake,Romney,660
25-900 Cheney Lake,Stein,9
25-900 Cheney Lake,Write-In,11
25-905 Muldoon No. 3,Johnson,13
25-905 Muldoon No. 3,Obama,210
25-905 Muldoon No. 3,Romney,333
25-905 Muldoon No. 3,Stein,2
25-905 Muldoon No. 3,Write-In,4
25-910 Muldoon No. 4,Johnson,32
25-910 Muldoon No. 4,Obama,359
25-910 Muldoon No. 4,Romney,461
25-910 Muldoon No. 4,Stein,6
25-910 Muldoon No. 4,Write-In,14
25-915 Chugach Ft. Hills No. 1,Johnson,10
25-915 Chugach Ft. Hills No. 1,Obama,234
25-915 Chugach Ft. Hills No. 1,Romney,281
25-915 Chugach Ft. Hills No. 1,Stein,6
25-915 Chugach Ft. Hills No. 1,Write-In,4
25-920 Chugach Ft. Hills No. 2,Johnson,22
25-920 Chugach Ft. Hills No. 2,Obama,373
25-920 Chugach Ft. Hills No. 2,Romney,400
25-920 Chugach Ft. Hills No. 2,Stein,8
25-920 Chugach Ft. Hills No. 2,Write-In,17
25-925 Scenic Park,Johnson,8
25-925 Scenic Park,Obama,275
25-925 Scenic Park,Romney,438
25-925 Scenic Park,Stein,6
25-925 Scenic Park,Write-In,6
25-930 Baxter,Johnson,35
25-930 Baxter,Obama,547
25-930 Baxter,Romney,563
25-930 Baxter,Stein,12
25-930 Baxter,Write-In,11
25-935 Stuckagain Heights,Johnson,4
25-935 Stuckagain Heights,Obama,105
25-935 Stuckagain Heights,Romney,105
25-935 Stuckagain Heights,Stein,0
25-935 Stuckagain Heights,Write-In,1
25-Absentee,Johnson,36
25-Absentee,Obama,647
25-Absentee,Romney,817
25-Absentee,Stein,8
25-Absentee,Write-In,5
25-Early Voting,Johnson,8
25-Early Voting,Obama,365
25-Early Voting,Romney,319
25-Early Voting,Stein,9
25-Early Voting,Write-In,3
25-Question,Johnson,10
25-Question,Obama,188
25-Question,Romney,192
25-Question,Stein,4
25-Question,Write-In,5
26-940 Downtown Eagle River No. 2,Johnson,27
26-940 Downtown Eagle River No. 2,Obama,202
26-940 Downtown Eagle River No. 2,Romney,542
26-940 Downtown Eagle River No. 2,Stein,3
26-940 Downtown Eagle River No. 2,Write-In,11
26-945 Meadow Creek No. 1,Johnson,20
26-945 Meadow Creek No. 1,Obama,238
26-945 Meadow Creek No. 1,Romney,526
26-945 Meadow Creek No. 1,Stein,9
26-945 Meadow Creek No. 1,Write-In,11
26-950 Meadow Creek No. 2,Johnson,13
26-950 Meadow Creek No. 2,Obama,272
26-950 Meadow Creek No. 2,Romney,637
26-950 Meadow Creek No. 2,Stein,2
26-950 Meadow Creek No. 2,Write-In,4
26-955 Eagle River No. 1,Johnson,7
26-955 Eagle River No. 1,Obama,137
26-955 Eagle River No. 1,Romney,322
26-955 Eagle River No. 1,Stein,3
26-955 Eagle River No. 1,Write-In,4
26-960 Eagle River No. 2,Johnson,25
26-960 Eagle River No. 2,Obama,347
26-960 Eagle River No. 2,Romney,757
26-960 Eagle River No. 2,Stein,9
26-960 Eagle River No. 2,Write-In,14
26-965 Chugach Park No. 2,Johnson,37
26-965 Chugach Park No. 2,Obama,485
26-965 Chugach Park No. 2,Romney,918
26-965 Chugach Park No. 2,Stein,7
26-965 Chugach Park No. 2,Write-In,11
26-970 Hiland,Johnson,26
26-970 Hiland,Obama,267
26-970 Hiland,Romney,696
26-970 Hiland,Stein,5
26-970 Hiland,Write-In,5
26-Absentee,Johnson,50
26-Absentee,Obama,950
26-Absentee,Romney,2076
26-Absentee,Stein,9
26-Absentee,Write-In,19
26-Early Voting,Johnson,3
26-Early Voting,Obama,167
26-Early Voting,Romney,240
26-Early Voting,Stein,4
26-Early Voting,Write-In,3
26-Question,Johnson,6
26-Question,Obama,104
26-Question,Romney,254
26-Question,Stein,2
26-Question,Write-In,5
27-105 Rabbit Creek No. 1,Johnson,13
27-105 Rabbit Creek No. 1,Obama,295
27-105 Rabbit Creek No. 1,Romney,567
27-105 Rabbit Creek No. 1,Stein,4
27-105 Rabbit Creek No. 1,Write-In,3
27-110 Rabbit Creek No. 2,Johnson,11
27-110 Rabbit Creek No. 2,Obama,370
27-110 Rabbit Creek No. 2,Romney,604
27-110 Rabbit Creek No. 2,Stein,8
27-110 Rabbit Creek No. 2,Write-In,9
27-115 Huffman No. 7,Johnson,14
27-115 Huffman No. 7,Obama,250
27-115 Huffman No. 7,Romney,542
27-115 Huffman No. 7,Stein,5
27-115 Huffman No. 7,Write-In,4
27-120 Huffman No. 8,Johnson,17
27-120 Huffman No. 8,Obama,318
27-120 Huffman No. 8,Romney,531
27-120 Huffman No. 8,Stein,5
27-120 Huffman No. 8,Write-In,2
27-125 Bear Valley,Johnson,24
27-125 Bear Valley,Obama,330
27-125 Bear Valley,Romney,371
27-125 Bear Valley,Stein,5
27-125 Bear Valley,Write-In,1
27-130 Indian,Johnson,6
27-130 Indian,Obama,62
27-130 Indian,Romney,60
27-130 Indian,Stein,2
27-130 Indian,Write-In,2
27-135 Girdwood,Johnson,34
27-135 Girdwood,Obama,504
27-135 Girdwood,Romney,213
27-135 Girdwood,Stein,15
27-135 Girdwood,Write-In,13
27-140 Goldenview,Johnson,23
27-140 Goldenview,Obama,469
27-140 Goldenview,Romney,762
27-140 Goldenview,Stein,7
27-140 Goldenview,Write-In,8
27-145 Chugach Park No. 3,Johnson,9
27-145 Chugach Park No. 3,Obama,338
27-145 Chugach Park No. 3,Romney,443
27-145 Chugach Park No. 3,Stein,6
27-145 Chugach Park No. 3,Write-In,3
27-Absentee,Johnson,29
27-Absentee,Obama,833
27-Absentee,Romney,1134
27-Absentee,Stein,20
27-Absentee,Write-In,13
27-Early Voting,Johnson,11
27-Early Voting,Obama,588
27-Early Voting,Romney,621
27-Early Voting,Stein,6
27-Early Voting,Write-In,0
27-Question,Johnson,6
27-Question,Obama,106
27-Question,Romney,167
27-Question,Stein,3
27-Question,Write-In,4
28-100 Bear Creek,Johnson,20
28-100 Bear Creek,Obama,253
28-100 Bear Creek,Romney,335
28-100 Bear Creek,Stein,9
28-100 Bear Creek,Write-In,12
28-110 Cooper Landing,Johnson,3
28-110 Cooper Landing,Obama,46
28-110 Cooper Landing,Romney,78
28-110 Cooper Landing,Stein,1
28-110 Cooper Landing,Write-In,7
28-120 Hope,Johnson,0
28-120 Hope,Obama,37
28-120 Hope,Romney,28
28-120 Hope,Stein,0
28-120 Hope,Write-In,0
28-130 Mackey Lake,Johnson,8
28-130 Mackey Lake,Obama,134
28-130 Mackey Lake,Romney,549
28-130 Mackey Lake,Stein,3
28-130 Mackey Lake,Write-In,9
28-140 Moose Pass,Johnson,2
28-140 Moose Pass,Obama,63
28-140 Moose Pass,Romney,71
28-140 Moose Pass,Stein,4
28-140 Moose Pass,Write-In,4
28-150 Nikiski,Johnson,15
28-150 Nikiski,Obama,154
28-150 Nikiski,Romney,653
28-150 Nikiski,Stein,3
28-150 Nikiski,Write-In,11
28-160 Salamatoff,Johnson,20
28-160 Salamatoff,Obama,142
28-160 Salamatoff,Romney,706
28-160 Salamatoff,Stein,5
28-160 Salamatoff,Write-In,13
28-170 Seward-Lowell Point,Johnson,26
28-170 Seward-Lowell Point,Obama,325
28-170 Seward-Lowell Point,Romney,346
28-170 Seward-Lowell Point,Stein,10
28-170 Seward-Lowell Point,Write-In,7
28-180 Sterling No. 1,Johnson,11
28-180 Sterling No. 1,Obama,113
28-180 Sterling No. 1,Romney,541
28-180 Sterling No. 1,Stein,8
28-180 Sterling No. 1,Write-In,4
28-190 Sterling No. 2,Johnson,13
28-190 Sterling No. 2,Obama,122
28-190 Sterling No. 2,Romney,591
28-190 Sterling No. 2,Stein,10
28-190 Sterling No. 2,Write-In,7
28-Absentee,Johnson,52
28-Absentee,Obama,698
28-Absentee,Romney,1702
28-Absentee,Stein,21
28-Absentee,Write-In,17
28-Early Voting,Johnson,0
28-Early Voting,Obama,1
28-Early Voting,Romney,0
28-Early Voting,Stein,0
28-Early Voting,Write-In,0
28-Question,Johnson,22
28-Question,Obama,100
28-Question,Romney,282
28-Question,Stein,9
28-Question,Write-In,13
29-200 Central,Johnson,23
29-200 Central,Obama,194
29-200 Central,Romney,737
29-200 Central,Stein,8
29-200 Central,Write-In,6
29-210 K-Beach,Johnson,19
29-210 K-Beach,Obama,223
29-210 K-Beach,Romney,805
29-210 K-Beach,Stein,5
29-210 K-Beach,Write-In,7
29-220 Kenai No. 1,Johnson,27
29-220 Kenai No. 1,Obama,254
29-220 Kenai No. 1,Romney,736
29-220 Kenai No. 1,Stein,10
29-220 Kenai No. 1,Write-In,14
29-230 Kenai No. 2,Johnson,15
29-230 Kenai No. 2,Obama,143
29-230 Kenai No. 2,Romney,364
29-230 Kenai No. 2,Stein,2
29-230 Kenai No. 2,Write-In,6
29-240 Kenai No. 3,Johnson,12
29-240 Kenai No. 3,Obama,136
29-240 Kenai No. 3,Romney,377
29-240 Kenai No. 3,Stein,4
29-240 Kenai No. 3,Write-In,6
29-250 Soldotna,Johnson,38
29-250 Soldotna,Obama,357
29-250 Soldotna,Romney,924
29-250 Soldotna,Stein,8
29-250 Soldotna,Write-In,16
29-Absentee,Johnson,33
29-Absentee,Obama,525
29-Absentee,Romney,1523
29-Absentee,Stein,7
29-Absentee,Write-In,12
29-Early Voting,Johnson,0
29-Early Voting,Obama,0
29-Early Voting,Romney,0
29-Early Voting,Stein,0
29-Early Voting,Write-In,0
29-Question,Johnson,14
29-Question,Obama,101
29-Question,Romney,308
29-Question,Stein,7
29-Question,Write-In,5
30-300 Anchor Point,Johnson,9
30-300 Anchor Point,Obama,180
30-300 Anchor Point,Romney,548
30-300 Anchor Point,Stein,12
30-300 Anchor Point,Write-In,8
30-310 Diamond Ridge,Johnson,10
30-310 Diamond Ridge,Obama,229
30-310 Diamond Ridge,Romney,180
30-310 Diamond Ridge,Stein,7
30-310 Diamond Ridge,Write-In,4
30-320 Fox River,Johnson,1
30-320 Fox River,Obama,76
30-320 Fox River,Romney,123
30-320 Fox River,Stein,4
30-320 Fox River,Write-In,1
30-330 Funny River No. 1,Johnson,9
30-330 Funny River No. 1,Obama,50
30-330 Funny River No. 1,Romney,186
30-330 Funny River No. 1,Stein,1
30-330 Funny River No. 1,Write-In,0
30-340 Funny River No. 2,Johnson,7
30-340 Funny River No. 2,Obama,76
30-340 Funny River No. 2,Romney,245
30-340 Funny River No. 2,Stein,1
30-340 Funny River No. 2,Write-In,2
30-350 Homer No. 1,Johnson,19
30-350 Homer No. 1,Obama,463
30-350 Homer No. 1,Romney,476
30-350 Homer No. 1,Stein,17
30-350 Homer No. 1,Write-In,16
30-360 Homer No. 2,Johnson,23
30-360 Homer No. 2,Obama,313
30-360 Homer No. 2,Romney,395
30-360 Homer No. 2,Stein,13
30-360 Homer No. 2,Write-In,7
30-370 Kachemak/Fritz Creek,Johnson,16
30-370 Kachemak/Fritz Creek,Obama,410
30-370 Kachemak/Fritz Creek,Romney,326
30-370 Kachemak/Fritz Creek,Stein,16
30-370 Kachemak/Fritz Creek,Write-In,6
30-380 Kasilof,Johnson,33
30-380 Kasilof,Obama,309
30-380 Kasilof,Romney,621
30-380 Kasilof,Stein,9
30-380 Kasilof,Write-In,14
30-390 Ninilchik,Johnson,17
30-390 Ninilchik,Obama,124
30-390 Ninilchik,Romney,324
30-390 Ninilchik,Stein,7
30-390 Ninilchik,Write-In,3
30-395 Seldovia/Kachemak Bay,Johnson,4
30-395 Seldovia/Kachemak Bay,Obama,88
30-395 Seldovia/Kachemak Bay,Romney,73
30-395 Seldovia/Kachemak Bay,Stein,6
30-395 Seldovia/Kachemak Bay,Write-In,1
30-Absentee,Johnson,54
30-Absentee,Obama,1104
30-Absentee,Romney,1767
30-Absentee,Stein,37
30-Absentee,Write-In,14
30-Early Voting,Johnson,0
30-Early Voting,Obama,1
30-Early Voting,Romney,0
30-Early Voting,Stein,0
30-Early Voting,Write-In,0
30-Question,Johnson,16
30-Question,Obama,155
30-Question,Romney,228
30-Question,Stein,7
30-Question,Write-In,4
31-400 Auke Bay,Johnson,20
31-400 Auke Bay,Obama,466
31-400 Auke Bay,Romney,362
31-400 Auke Bay,Stein,20
31-400 Auke Bay,Write-In,1
31-410 Juneau Airport,Johnson,23
31-410 Juneau Airport,Obama,390
31-410 Juneau Airport,Romney,331
31-410 Juneau Airport,Stein,9
31-410 Juneau Airport,Write-In,12
31-420 Lynn Canal,Johnson,13
31-420 Lynn Canal,Obama,348
31-420 Lynn Canal,Romney,263
31-420 Lynn Canal,Stein,10
31-420 Lynn Canal,Write-In,5
31-430 Mendenhall Valley No. 1,Johnson,22
31-430 Mendenhall Valley No. 1,Obama,390
31-430 Mendenhall Valley No. 1,Romney,403
31-430 Mendenhall Valley No. 1,Stein,11
31-430 Mendenhall Valley No. 1,Write-In,7
31-440 Mendenhall Valley No. 2,Johnson,24
