fips,county,candidate,votes
53029,Island,Jill Stein / Cheri Honkala,265
53029,Island,Peta Lindsay / Yari Osorio,22
53029,Island,James Harris / Alyson Kennedy,11
53029,Island,Ross C. (Rocky) Anderson / Luis J. Rodriguez,71
53031,Jefferson,Barack Obama / Joe Biden,12739
53031,Jefferson,Mitt Romney / Paul Ryan,6405
53031,Jefferson,Gary Johnson / James P. Gray,248
53031,Jefferson,Virgil Goode / James N. Clymer,54
53031,Jefferson,Jill Stein / Cheri Honkala,301
53031,Jefferson,Peta Lindsay / Yari Osorio,8
53031,Jefferson,James Harris / Alyson Kennedy,7
53031,Jefferson,Ross C. (Rocky) Anderson / Luis J. Rodriguez,67
53033,King,Barack Obama / Joe Biden,668004
53033,King,Mitt Romney / Paul Ryan,275700
53033,King,Gary Johnson / James P. Gray,12411
53033,King,Virgil Goode / James N. Clymer,1369
53033,King,Jill Stein / Cheri Honkala,7264
53033,King,Peta Lindsay / Yari Osorio,411
53033,King,James Harris / Alyson Kennedy,367
53033,King,Ross C. (Rocky) Anderson / Luis J. Rodriguez,1628
53035,Kitsap,Barack Obama / Joe Biden,67277
53035,Kitsap,Mitt Romney / Paul Ryan,52846
53035,Kitsap,Gary Johnson / James P. Gray,1774
53035,Kitsap,Virgil Goode / James N. Clymer,414
53035,Kitsap,Jill Stein / Cheri Honkala,799
53035,Kitsap,Peta Lindsay / Yari Osorio,37
53035,Kitsap,James Harris / Alyson Kennedy,43
53035,Kitsap,Ross C. (Rocky) Anderson / Luis J. Rodriguez,177
53037,Kittitas,Barack Obama / Joe Biden,7949
53037,Kittitas,Mitt Romney / Paul Ryan,9782
53037,Kittitas,Gary Johnson / James P. Gray,239
53037,Kittitas,Virgil Goode / James N. Clymer,39
53037,Kittitas,Jill Stein / Cheri Honkala,110
53037,Kittitas,Peta Lindsay / Yari Osorio,5
53037,Kittitas,James Harris / Alyson Kennedy,10
53037,Kittitas,Ross C. (Rocky) Anderson / Luis J. Rodriguez,37
53039,Klickitat,Barack Obama / Joe Biden,4598
53039,Klickitat,Mitt Romney / Paul Ryan,5316
53039,Klickitat,Gary Johnson / James P. Gray,147
53039,Klickitat,Virgil Goode / James N. Clymer,53
53039,Klickitat,Jill Stein / Cheri Honkala,121
53039,Klickitat,Peta Lindsay / Yari Osorio,5
53039,Klickitat,James Harris / Alyson Kennedy,7
53039,Klickitat,Ross C. (Rocky) Anderson / Luis J. Rodriguez,27
53041,Lewis,Barack Obama / Joe Biden,12664
53041,Lewis,Mitt Romney / Paul Ryan,20452
53041,Lewis,Gary Johnson / James P. Gray,508
53041,Lewis,Virgil Goode / James N. Clymer,149
53041,Lewis,Jill Stein / Cheri Honkala,172
53041,Lewis,Peta Lindsay / Yari Osorio,18
53041,Lewis,James Harris / Alyson Kennedy,25
53041,Lewis,Ross C. (Rocky) Anderson / Luis J. Rodriguez,56
53043,Lincoln,Barack Obama / Joe Biden,1673
53043,Lincoln,Mitt Romney / Paul Ryan,4063
53043,Lincoln,Gary Johnson / James P. Gray,66
53043,Lincoln,Virgil Goode / James N. Clymer,24
53043,Lincoln,Jill Stein / Cheri Honkala,36
53043,Lincoln,Peta Lindsay / Yari Osorio,1
53043,Lincoln,James Harris / Alyson Kennedy,3
53043,Lincoln,Ross C. (Rocky) Anderson / Luis J. Rodriguez,6
53045,Mason,Barack Obama / Joe Biden,14764
53045,Mason,Mitt Romney / Paul Ryan,12761
53045,Mason,Gary Johnson / James P. Gray,357
53045,Mason,Virgil Goode / James N. Clymer,104
53045,Mason,Jill Stein / Cheri Honkala,175
53045,Mason,Peta Lindsay / Yari Osorio,17
53045,Mason,James Harris / Alyson Kennedy,9
53045,Mason,Ross C. (Rocky) Anderson / Luis J. Rodriguez,48
53047,Okanogan,Barack Obama / Joe Biden,7108
53047,Okanogan,Mitt Romney / Paul Ryan,9221
53047,Okanogan,Gary Johnson / James P. Gray,237
