town,candidate,votes
Mashpee,Obama/ Biden,4135
Mashpee,Romney/ Ryan,4062
Mashpee,Johnson/ Gray,46
Mashpee,Stein/ Honkala,42
Mashpee,All Others,11
Mattapoisett,Obama/ Biden,2041
Mattapoisett,Romney/ Ryan,1855
Mattapoisett,Johnson/ Gray,28
Mattapoisett,Stein/ Honkala,29
Mattapoisett,All Others,0
Maynard,Obama/ Biden,3635
Maynard,Romney/ Ryan,2023
Maynard,Johnson/ Gray,77
Maynard,Stein/ Honkala,53
Maynard,All Others,15
Medfield,Obama/ Biden,3448
Medfield,Romney/ Ryan,3864
Medfield,Johnson/ Gray,71
Medfield,Stein/ Honkala,32
Medfield,All Others,9
Medford,Obama/ Biden,18874
Medford,Romney/ Ryan,8359
Medford,Johnson/ Gray,275
Medford,Stein/ Honkala,227
Medford,All Others,76
Medway,Obama/ Biden,3627
Medway,Romney/ Ryan,3526
Medway,Johnson/ Gray,70
Medway,Stein/ Honkala,29
Medway,All Others,13
Melrose,Obama/ Biden,9368
Melrose,Romney/ Ryan,5971
Melrose,Johnson/ Gray,133
Melrose,Stein/ Honkala,75
Melrose,All Others,37
Mendon,Obama/ Biden,1524
Mendon,Romney/ Ryan,1844
Mendon,Johnson/ Gray,34
Mendon,Stein/ Honkala,15
Mendon,All Others,12
Merrimac,Obama/ Biden,1847
Merrimac,Romney/ Ryan,1660
Merrimac,Johnson/ Gray,47
Merrimac,Stein/ Honkala,18
Merrimac,All Others,12
Methuen,Obama/ Biden,11092
Methuen,Romney/ Ryan,10198
Methuen,Johnson/ Gray,206
Methuen,Stein/ Honkala,50
Methuen,All Others,26
Middleborough,Obama/ Biden,5224
Middleborough,Romney/ Ryan,6053
Middleborough,Johnson/ Gray,130
Middleborough,Stein/ Honkala,60
Middleborough,All Others,30
Middlefield,Obama/ Biden,202
Middlefield,Romney/ Ryan,77
Middlefield,Johnson/ Gray,5
Middlefield,Stein/ Honkala,6
Middlefield,All Others,0
Middleton,Obama/ Biden,1921
Middleton,Romney/ Ryan,2658
Middleton,Johnson/ Gray,36
Middleton,Stein/ Honkala,16
Middleton,All Others,1
Milford,Obama/ Biden,7159
Milford,Romney/ Ryan,5519
Milford,Johnson/ Gray,125
Milford,Stein/ Honkala,58
Milford,All Others,37
Millbury,Obama/ Biden,3411
Millbury,Romney/ Ryan,3263
Millbury,Johnson/ Gray,78
Millbury,Stein/ Honkala,35
Millbury,All Others,17
Millis,Obama/ Biden,2421
Millis,Romney/ Ryan,2233
Millis,Johnson/ Gray,55
Millis,Stein/ Honkala,28
Millis,All Others,0
Millville,Obama/ Biden,717
Millville,Romney/ Ryan,813
Millville,Johnson/ Gray,18
Millville,Stein/ Honkala,9
Millville,All Others,0
Milton,Obama/ Biden,9569
Milton,Romney/ Ryan,6133
Milton,Johnson/ Gray,114
Milton,Stein/ Honkala,68
Milton,All Others,33
Monroe,Obama/ Biden,32
Monroe,Romney/ Ryan,21
Monroe,Johnson/ Gray,0
Monroe,Stein/ Honkala,0
Monroe,All Others,0
Monson,Obama/ Biden,2178
Monson,Romney/ Ryan,2035
Monson,Johnson/ Gray,49
Monson,Stein/ Honkala,34
Monson,All Others,7
Montague,Obama/ Biden,3214
Montague,Romney/ Ryan,873
Montague,Johnson/ Gray,39
Montague,Stein/ Honkala,87
Montague,All Others,10
Monterey,Obama/ Biden,420
Monterey,Romney/ Ryan,97
Monterey,Johnson/ Gray,6
Monterey,Stein/ Honkala,9
Monterey,All Others,1
Montgomery,Obama/ Biden,220
Montgomery,Romney/ Ryan,274
Montgomery,Johnson/ Gray,8
Montgomery,Stein/ Honkala,5
Montgomery,All Others,2
Mount Washington,Obama/ Biden,83
Mount Washington,Romney/ Ryan,19
Mount Washington,Johnson/ Gray,3
Mount Washington,Stein/ Honkala,3
Mount Washington,All Others,0
Nahant,Obama/ Biden,1374
Nahant,Romney/ Ryan,898
Nahant,Johnson/ Gray,13
Nahant,Stein/ Honkala,14
Nahant,All Others,5
Nantucket,Obama/ Biden,3830
Nantucket,Romney/ Ryan,2187
Nantucket,Johnson/ Gray,60
Nantucket,Stein/ Honkala,24
Nantucket,All Others,19
Natick,Obama/ Biden,11685
Natick,Romney/ Ryan,6792
Natick,Johnson/ Gray,157
Natick,Stein/ Honkala,116
Natick,All Others,25
Needham,Obama/ Biden,10452
Needham,Romney/ Ryan,6614
Needham,Johnson/ Gray,139
Needham,Stein/ Honkala,52
Needham,All Others,18
New Ashford,Obama/ Biden,107
New Ashford,Romney/ Ryan,40
New Ashford,Johnson/ Gray,5
New Ashford,Stein/ Honkala,1
New Ashford,All Others,0
New Bedford,Obama/ Biden,25253
New Bedford,Romney/ Ryan,7550
New Bedford,Johnson/ Gray,320
New Bedford,Stein/ Honkala,153
New Bedford,All Others,107
New Braintree,Obama/ Biden,284
New Braintree,Romney/ Ryan,257
New Braintree,Johnson/ Gray,12
New Braintree,Stein/ Honkala,7
New Braintree,All Others,0
New Marlborough,Obama/ Biden,573
New Marlborough,Romney/ Ryan,240
New Marlborough,Johnson/ Gray,15
New Marlborough,Stein/ Honkala,9
New Marlborough,All Others,1
New Salem,Obama/ Biden,381
New Salem,Romney/ Ryan,205
New Salem,Johnson/ Gray,9
New Salem,Stein/ Honkala,11
New Salem,All Others,1
Newbury,Obama/ Biden,2291
Newbury,Romney/ Ryan,2104
Newbury,Johnson/ Gray,36
Newbury,Stein/ Honkala,25
Newbury,All Others,11
Newburyport,Obama/ Biden,6794
Newburyport,Romney/ Ryan,4063
Newburyport,Johnson/ Gray,103
Newburyport,Stein/ Honkala,65
Newburyport,All Others,0
Newton,Obama/ Biden,32099
Newton,Romney/ Ryan,12154
Newton,Johnson/ Gray,353
Newton,Stein/ Honkala,357
Newton,All Others,76
Norfolk,Obama/ Biden,2433
Norfolk,Romney/ Ryan,3203
Norfolk,Johnson/ Gray,40
Norfolk,Stein/ Honkala,35
Norfolk,All Others,14
N. Adams,Obama/ Biden,4465
N. Adams,Romney/ Ryan,1152
N. Adams,Johnson/ Gray,73
N. Adams,Stein/ Honkala,68
N. Adams,All Others,18
N. Andover,Obama/ Biden,7073
N. Andover,Romney/ Ryan,8045
N. Andover,Johnson/ Gray,112
N. Andover,Stein/ Honkala,48
N. Andover,All Others,0
N. Attleborough,Obama/ Biden,6651
N. Attleborough,Romney/ Ryan,7359
N. Attleborough,Johnson/ Gray,166
N. Attleborough,Stein/ Honkala,48
N. Attleborough,All Others,29
N. Brookfield,Obama/ Biden,1051
N. Brookfield,Romney/ Ryan,1273
N. Brookfield,Johnson/ Gray,32
N. Brookfield,Stein/ Honkala,14
N. Brookfield,All Others,4
N. Reading,Obama/ Biden,3989
N. Reading,Romney/ Ryan,4642
N. Reading,Johnson/ Gray,87
N. Reading,Stein/ Honkala,27
N. Reading,All Others,14
Northampton,Obama/ Biden,13259
Northampton,Romney/ Ryan,2182
Northampton,Johnson/ Gray,124
Northampton,Stein/ Honkala,508
Northampton,All Others,33
Northborough,Obama/ Biden,4398
Northborough,Romney/ Ryan,3879
Northborough,Johnson/ Gray,95
Northborough,Stein/ Honkala,40
Northborough,All Others,18
Northbridge,Obama/ Biden,3445
Northbridge,Romney/ Ryan,4109
Northbridge,Johnson/ Gray,97
Northbridge,Stein/ Honkala,32
Northbridge,All Others,18
Northfield,Obama/ Biden,1115
Northfield,Romney/ Ryan,474
Northfield,Johnson/ Gray,16
Northfield,Stein/ Honkala,23
Northfield,All Others,2
Norton,Obama/ Biden,4475
Norton,Romney/ Ryan,4457
Norton,Johnson/ Gray,99
Norton,Stein/ Honkala,50
Norton,All Others,16
Norwell,Obama/ Biden,2729
Norwell,Romney/ Ryan,3688
Norwell,Johnson/ Gray,47
Norwell,Stein/ Honkala,16
Norwell,All Others,11
Norwood,Obama/ Biden,8235
Norwood,Romney/ Ryan,6389
Norwood,Johnson/ Gray,141
Norwood,Stein/ Honkala,69
Norwood,All Others,37
Oak Bluffs,Obama/ Biden,1969
Oak Bluffs,Romney/ Ryan,796
Oak Bluffs,Johnson/ Gray,15
Oak Bluffs,Stein/ Honkala,16
Oak Bluffs,All Others,2
Oakham,Obama/ Biden,509
Oakham,Romney/ Ryan,609
Oakham,Johnson/ Gray,20
Oakham,Stein/ Honkala,8
Oakham,All Others,0
Orange,Obama/ Biden,1818
Orange,Romney/ Ryan,1325
Orange,Johnson/ Gray,65
Orange,Stein/ Honkala,27
Orange,All Others,0
Orleans,Obama/ Biden,2530
Orleans,Romney/ Ryan,1943
Orleans,Johnson/ Gray,27
Orleans,Stein/ Honkala,23
Orleans,All Others,5
Otis,Obama/ Biden,489
Otis,Romney/ Ryan,312
Otis,Johnson/ Gray,18
Otis,Stein/ Honkala,11
Otis,All Others,1
Oxford,Obama/ Biden,3126
Oxford,Romney/ Ryan,3263
Oxford,Johnson/ Gray,75
Oxford,Stein/ Honkala,33
Oxford,All Others,23
Palmer,Obama/ Biden,3018
Palmer,Romney/ Ryan,2468
Palmer,Johnson/ Gray,91
Palmer,Stein/ Honkala,43
Palmer,All Others,21
Paxton,Obama/ Biden,1124
Paxton,Romney/ Ryan,1362
Paxton,Johnson/ Gray,15
Paxton,Stein/ Honkala,15
Paxton,All Others,3
Peabody,Obama/ Biden,15027
Peabody,Romney/ Ryan,11622
Peabody,Johnson/ Gray,194
Peabody,Stein/ Honkala,72
Peabody,All Others,84
Pelham,Obama/ Biden,728
Pelham,Romney/ Ryan,132
Pelham,Johnson/ Gray,6
Pelham,Stein/ Honkala,22
Pelham,All Others,1
Pembroke,Obama/ Biden,4583
Pembroke,Romney/ Ryan,5079
Pembroke,Johnson/ Gray,84
Pembroke,Stein/ Honkala,28
Pembroke,All Others,32
Pepperell,Obama/ Biden,2936
Pepperell,Romney/ Ryan,3426
Pepperell,Johnson/ Gray,91
Pepperell,Stein/ Honkala,30
Pepperell,All Others,18
Peru,Obama/ Biden,324
Peru,Romney/ Ryan,136
Peru,Johnson/ Gray,11
Peru,Stein/ Honkala,3
Peru,All Others,0
Petersham,Obama/ Biden,451
Petersham,Romney/ Ryan,338
Petersham,Johnson/ Gray,12
Petersham,Stein/ Honkala,13
Petersham,All Others,4
Phillipston,Obama/ Biden,464
Phillipston,Romney/ Ryan,469
Phillipston,Johnson/ Gray,12
Phillipston,Stein/ Honkala,6
Phillipston,All Others,0
Pittsfield,Obama/ Biden,15648
Pittsfield,Romney/ Ryan,4057
Pittsfield,Johnson/ Gray,205
Pittsfield,Stein/ Honkala,144
Pittsfield,All Others,11
Plainfield,Obama/ Biden,287
Plainfield,Romney/ Ryan,83
Plainfield,Johnson/ Gray,3
Plainfield,Stein/ Honkala,13
Plainfield,All Others,0
Plainville,Obama/ Biden,2087
Plainville,Romney/ Ryan,2281
Plainville,Johnson/ Gray,38
Plainville,Stein/ Honkala,22
Plainville,All Others,0
Plymouth,Obama/ Biden,15233
Plymouth,Romney/ Ryan,14347
Plymouth,Johnson/ Gray,261
Plymouth,Stein/ Honkala,111
Plymouth,All Others,80
Plympton,Obama/ Biden,780
Plympton,Romney/ Ryan,930
Plympton,Johnson/ Gray,19
Plympton,Stein/ Honkala,15
Plympton,All Others,2
Princeton,Obama/ Biden,1115
Princeton,Romney/ Ryan,1149
Princeton,Johnson/ Gray,32
Princeton,Stein/ Honkala,10
Princeton,All Others,2
Provincetown,Obama/ Biden,2121
Provincetown,Romney/ Ryan,210
Provincetown,Johnson/ Gray,19
Provincetown,Stein/ Honkala,30
Provincetown,All Others,4
Quincy,Obama/ Biden,24849
Quincy,Romney/ Ryan,14850
Quincy,Johnson/ Gray,393
Quincy,Stein/ Honkala,233
Quincy,All Others,131
Randolph,Obama/ Biden,11441
Randolph,Romney/ Ryan,3552
Randolph,Johnson/ Gray,93
Randolph,Stein/ Honkala,40
Randolph,All Others,23
Raynham,Obama/ Biden,3222
Raynham,Romney/ Ryan,3658
Raynham,Johnson/ Gray,76
Raynham,Stein/ Honkala,17
Raynham,All Others,0
Reading,Obama/ Biden,7515
Reading,Romney/ Ryan,6683
Reading,Johnson/ Gray,106
Reading,Stein/ Honkala,69
Reading,All Others,38
Rehoboth,Obama/ Biden,2914
Rehoboth,Romney/ Ryan,3247
Rehoboth,Johnson/ Gray,75
Rehoboth,Stein/ Honkala,24
Rehoboth,All Others,0
Revere,Obama/ Biden,11665
Revere,Romney/ Ryan,5921
Revere,Johnson/ Gray,135
Revere,Stein/ Honkala,75
Revere,All Others,36
Richmond,Obama/ Biden,702
Richmond,Romney/ Ryan,228
Richmond,Johnson/ Gray,6
Richmond,Stein/ Honkala,3
Richmond,All Others,0
Rochester,Obama/ Biden,1366
Rochester,Romney/ Ryan,1704
Rochester,Johnson/ Gray,46
Rochester,Stein/ Honkala,13
Rochester,All Others,2
Rockland,Obama/ Biden,4597
Rockland,Romney/ Ryan,4051
Rockland,Johnson/ Gray,91
Rockland,Stein/ Honkala,38
Rockland,All Others,28
Rockport,Obama/ Biden,2982
Rockport,Romney/ Ryan,1671
Rockport,Johnson/ Gray,62
Rockport,Stein/ Honkala,30
Rockport,All Others,8
Rowe,Obama/ Biden,140
Rowe,Romney/ Ryan,92
Rowe,Johnson/ Gray,4
Rowe,Stein/ Honkala,5
Rowe,All Others,0
Rowley,Obama/ Biden,1596
Rowley,Romney/ Ryan,1935
Rowley,Johnson/ Gray,36
Rowley,Stein/ Honkala,15
Rowley,All Others,5
Royalston,Obama/ Biden,391
Royalston,Romney/ Ryan,267
Royalston,Johnson/ Gray,8
Royalston,Stein/ Honkala,10
Royalston,All Others,2
Russell,Obama/ Biden,388
Russell,Romney/ Ryan,386
Russell,Johnson/ Gray,10
Russell,Stein/ Honkala,4
Russell,All Others,2
Rutland,Obama/ Biden,2075
Rutland,Romney/ Ryan,2332
Rutland,Johnson/ Gray,47
Rutland,Stein/ Honkala,24
Rutland,All Others,16
Salem,Obama/ Biden,13605
Salem,Romney/ Ryan,5725
Salem,Johnson/ Gray,229
Salem,Stein/ Honkala,148
Salem,All Others,31
Salisbury,Obama/ Biden,2280
Salisbury,Romney/ Ryan,1939
Salisbury,Johnson/ Gray,46
Salisbury,Stein/ Honkala,15
Salisbury,All Others,13
Sandisfield,Obama/ Biden,294
Sandisfield,Romney/ Ryan,154
Sandisfield,Johnson/ Gray,4
Sandisfield,Stein/ Honkala,3
Sandisfield,All Others,0
Sandwich,Obama/ Biden,5845
Sandwich,Romney/ Ryan,6511
Sandwich,Johnson/ Gray,96
Sandwich,Stein/ Honkala,45
Sandwich,All Others,12
Saugus,Obama/ Biden,6990
Saugus,Romney/ Ryan,6590
Saugus,Johnson/ Gray,111
Saugus,Stein/ Honkala,31
Saugus,All Others,18
Savoy,Obama/ Biden,241
Savoy,Romney/ Ryan,103
Savoy,Johnson/ Gray,8
Savoy,Stein/ Honkala,3
Savoy,All Others,1
Scituate,Obama/ Biden,5582
Scituate,Romney/ Ryan,5697
Scituate,Johnson/ Gray,91
Scituate,Stein/ Honkala,45
Scituate,All Others,10
Seekonk,Obama/ Biden,3788
Seekonk,Romney/ Ryan,3390
Seekonk,Johnson/ Gray,86
Seekonk,Stein/ Honkala,29
Seekonk,All Others,17
Sharon,Obama/ Biden,6564
Sharon,Romney/ Ryan,3665
Sharon,Johnson/ Gray,71
Sharon,Stein/ Honkala,50
Sharon,All Others,20
Sheffield,Obama/ Biden,1291
Sheffield,Romney/ Ryan,503
Sheffield,Johnson/ Gray,16
Sheffield,Stein/ Honkala,22
Sheffield,All Others,3
Shelburne,Obama/ Biden,873
Shelburne,Romney/ Ryan,226
Shelburne,Johnson/ Gray,11
Shelburne,Stein/ Honkala,24
Shelburne,All Others,10
Sherborn,Obama/ Biden,1452
Sherborn,Romney/ Ryan,1182
Sherborn,Johnson/ Gray,34
Sherborn,Stein/ Honkala,12
Sherborn,All Others,5
Shirley,Obama/ Biden,1554
Shirley,Romney/ Ryan,1483
Shirley,Johnson/ Gray,65
Shirley,Stein/ Honkala,30
Shirley,All Others,7
Shrewsbury,Obama/ Biden,9754
Shrewsbury,Romney/ Ryan,8180
Shrewsbury,Johnson/ Gray,164
Shrewsbury,Stein/ Honkala,63
Shrewsbury,All Others,36
Shutesbury,Obama/ Biden,1028
Shutesbury,Romney/ Ryan,156
Shutesbury,Johnson/ Gray,16
Shutesbury,Stein/ Honkala,50
Shutesbury,All Others,4
Somerset,Obama/ Biden,6134
Somerset,Romney/ Ryan,3697
Somerset,Johnson/ Gray,104
Somerset,Stein/ Honkala,40
Somerset,All Others,15
Somerville,Obama/ Biden,28853
Somerville,Romney/ Ryan,4885
Somerville,Johnson/ Gray,547
Somerville,Stein/ Honkala,761
Somerville,All Others,110
S. Hadley,Obama/ Biden,5437
S. Hadley,Romney/ Ryan,3273
S. Hadley,Johnson/ Gray,103
S. Hadley,Stein/ Honkala,52
S. Hadley,All Others,25
Southampton,Obama/ Biden,1866
Southampton,Romney/ Ryan,1590
Southampton,Johnson/ Gray,35
Southampton,Stein/ Honkala,38
Southampton,All Others,16
Southborough,Obama/ Biden,2956
Southborough,Romney/ Ryan,2791
Southborough,Johnson/ Gray,63
Southborough,Stein/ Honkala,24
Southborough,All Others,16
Southbridge,Obama/ Biden,4284
Southbridge,Romney/ Ryan,2295
Southbridge,Johnson/ Gray,80
Southbridge,Stein/ Honkala,42
Southbridge,All Others,17
Southwick,Obama/ Biden,2050
Southwick,Romney/ Ryan,2772
Southwick,Johnson/ Gray,53
Southwick,Stein/ Honkala,28
Southwick,All Others,18
Spencer,Obama/ Biden,2617
Spencer,Romney/ Ryan,2785
Spencer,Johnson/ Gray,99
Spencer,Stein/ Honkala,29
Spencer,All Others,20
Springfield,Obama/ Biden,43869
Springfield,Romney/ Ryan,10515
Springfield,Johnson/ Gray,361
Springfield,Stein/ Honkala,216
Springfield,All Others,108
Sterling,Obama/ Biden,2050
Sterling,Romney/ Ryan,2679
Sterling,Johnson/ Gray,63
Sterling,Stein/ Honkala,18
Sterling,All Others,5
Stockbridge,Obama/ Biden,945
Stockbridge,Romney/ Ryan,226
Stockbridge,Johnson/ Gray,22
Stockbridge,Stein/ Honkala,16
Stockbridge,All Others,1
Stoneham,Obama/ Biden,6696
Stoneham,Romney/ Ryan,5609
Stoneham,Johnson/ Gray,108
Stoneham,Stein/ Honkala,49
Stoneham,All Others,9
Stoughton,Obama/ Biden,8119
Stoughton,Romney/ Ryan,5594
Stoughton,Johnson/ Gray,132
Stoughton,Stein/ Honkala,48
Stoughton,All Others,28
Stow,Obama/ Biden,2354
Stow,Romney/ Ryan,1835
Stow,Johnson/ Gray,53
Stow,Stein/ Honkala,24
Stow,All Others,6
Sturbridge,Obama/ Biden,2534
Sturbridge,Romney/ Ryan,2624
Sturbridge,Johnson/ Gray,85
Sturbridge,Stein/ Honkala,32
Sturbridge,All Others,16
Sudbury,Obama/ Biden,6133
Sudbury,Romney/ Ryan,4387
Sudbury,Johnson/ Gray,75
Sudbury,Stein/ Honkala,43
Sudbury,All Others,18
Sunderland,Obama/ Biden,1366
Sunderland,Romney/ Ryan,404
Sunderland,Johnson/ Gray,39
Sunderland,Stein/ Honkala,56
Sunderland,All Others,3
Sutton,Obama/ Biden,2189
Sutton,Romney/ Ryan,3097
Sutton,Johnson/ Gray,59
Sutton,Stein/ Honkala,30
Sutton,All Others,12
Swampscott,Obama/ Biden,4936
Swampscott,Romney/ Ryan,3209
Swampscott,Johnson/ Gray,72
Swampscott,Stein/ Honkala,35
Swampscott,All Others,10
Swansea,Obama/ Biden,4516
Swansea,Romney/ Ryan,3277
Swansea,Johnson/ Gray,80
Swansea,Stein/ Honkala,22
Swansea,All Others,0
Taunton,Obama/ Biden,13769
Taunton,Romney/ Ryan,8925
Taunton,Johnson/ Gray,279
Taunton,Stein/ Honkala,83
Taunton,All Others,56
Templeton,Obama/ Biden,1860
Templeton,Romney/ Ryan,1857
Templeton,Johnson/ Gray,44
Templeton,Stein/ Honkala,25
Templeton,All Others,9
Tewksbury,Obama/ Biden,7578
Tewksbury,Romney/ Ryan,8360
Tewksbury,Johnson/ Gray,144
Tewksbury,Stein/ Honkala,67
Tewksbury,All Others,56
Tisbury,Obama/ Biden,1845
Tisbury,Romney/ Ryan,595
Tisbury,Johnson/ Gray,16
Tisbury,Stein/ Honkala,29
Tisbury,All Others,11
Tolland,Obama/ Biden,110
Tolland,Romney/ Ryan,155
Tolland,Johnson/ Gray,7
Tolland,Stein/ Honkala,6
Tolland,All Others,1
Topsfield,Obama/ Biden,1801
Topsfield,Romney/ Ryan,2164
Topsfield,Johnson/ Gray,32
Topsfield,Stein/ Honkala,14
Topsfield,All Others,8
Townsend,Obama/ Biden,2088
Townsend,Romney/ Ryan,2728
Townsend,Johnson/ Gray,88
Townsend,Stein/ Honkala,23
Townsend,All Others,0
Truro,Obama/ Biden,1043
Truro,Romney/ Ryan,399
Truro,Johnson/ Gray,18
Truro,Stein/ Honkala,9
Truro,All Others,1
Tyngsborough,Obama/ Biden,2840
Tyngsborough,Romney/ Ryan,3363
Tyngsborough,Johnson/ Gray,77
Tyngsborough,Stein/ Honkala,18
Tyngsborough,All Others,10
Tyringham,Obama/ Biden,173
Tyringham,Romney/ Ryan,85
Tyringham,Johnson/ Gray,0
Tyringham,Stein/ Honkala,0
Tyringham,All Others,0
Upton,Obama/ Biden,1995
Upton,Romney/ Ryan,2142
Upton,Johnson/ Gray,61
Upton,Stein/ Honkala,22
Upton,All Others,11
Uxbridge,Obama/ Biden,3321
Uxbridge,Romney/ Ryan,3728
Uxbridge,Johnson/ Gray,97
Uxbridge,Stein/ Honkala,30
Uxbridge,All Others,21
Wakefield,Obama/ Biden,7515
Wakefield,Romney/ Ryan,6820
Wakefield,Johnson/ Gray,134
Wakefield,Stein/ Honkala,52
Wakefield,All Others,38
Wales,Obama/ Biden,482
Wales,Romney/ Ryan,434
Wales,Johnson/ Gray,11
Wales,Stein/ Honkala,3
Wales,All Others,5
Walpole,Obama/ Biden,6385
Walpole,Romney/ Ryan,7466
Walpole,Johnson/ Gray,122
Walpole,Stein/ Honkala,46
Walpole,All Others,28
Waltham,Obama/ Biden,15906
Waltham,Romney/ Ryan,8856
Waltham,Johnson/ Gray,293
Waltham,Stein/ Honkala,214
Waltham,All Others,47
Ware,Obama/ Biden,2393
Ware,Romney/ Ryan,1789
Ware,Johnson/ Gray,54
Ware,Stein/ Honkala,23
Ware,All Others,18
Wareham,Obama/ Biden,6098
Wareham,Romney/ Ryan,4650
Wareham,Johnson/ Gray,107
Wareham,Stein/ Honkala,49
Wareham,All Others,37
Warren,Obama/ Biden,1219
Warren,Romney/ Ryan,1002
Warren,Johnson/ Gray,60
Warren,Stein/ Honkala,22
Warren,All Others,14
Warwick,Obama/ Biden,334
Warwick,Romney/ Ryan,109
Warwick,Johnson/ Gray,5
Warwick,Stein/ Honkala,5
Warwick,All Others,2
Washington,Obama/ Biden,239
Washington,Romney/ Ryan,69
Washington,Johnson/ Gray,4
Washington,Stein/ Honkala,3
Washington,All Others,1
Watertown,Obama/ Biden,11912
Watertown,Romney/ Ryan,4526
Watertown,Johnson/ Gray,170
Watertown,Stein/ Honkala,155
Watertown,All Others,37
Wayland,Obama/ Biden,5170
Wayland,Romney/ Ryan,2976
Wayland,Johnson/ Gray,71
Wayland,Stein/ Honkala,61
Wayland,All Others,11
Webster,Obama/ Biden,3476
Webster,Romney/ Ryan,3116
Webster,Johnson/ Gray,82
Webster,Stein/ Honkala,37
Webster,All Others,19
Wellesley,Obama/ Biden,8530
Wellesley,Romney/ Ryan,6264
Wellesley,Johnson/ Gray,103
Wellesley,Stein/ Honkala,64
Wellesley,All Others,0
Wellfleet,Obama/ Biden,1569
Wellfleet,Romney/ Ryan,619
Wellfleet,Johnson/ Gray,28
Wellfleet,Stein/ Honkala,27
Wellfleet,All Others,1
Wendell,Obama/ Biden,427
Wendell,Romney/ Ryan,70
Wendell,Johnson/ Gray,17
Wendell,Stein/ Honkala,43
Wendell,All Others,0
Wenham,Obama/ Biden,1060
Wenham,Romney/ Ryan,1266
Wenham,Johnson/ Gray,27
Wenham,Stein/ Honkala,9
Wenham,All Others,0
W. Boylston,Obama/ Biden,2046
W. Boylston,Romney/ Ryan,2091
W. Boylston,Johnson/ Gray,41
W. Boylston,Stein/ Honkala,14
W. Boylston,All Others,2
W. Bridgewater,Obama/ Biden,1735
W. Bridgewater,Romney/ Ryan,2171
W. Bridgewater,Johnson/ Gray,28
W. Bridgewater,Stein/ Honkala,24
W. Bridgewater,All Others,0
W. Brookfield,Obama/ Biden,965
W. Brookfield,Romney/ Ryan,951
W. Brookfield,Johnson/ Gray,22
W. Brookfield,Stein/ Honkala,10
W. Brookfield,All Others,1
W. Newbury,Obama/ Biden,1390
W. Newbury,Romney/ Ryan,1349
W. Newbury,Johnson/ Gray,29
W. Newbury,Stein/ Honkala,8
W. Newbury,All Others,7
W. Springfield,Obama/ Biden,6175
W. Springfield,Romney/ Ryan,5172
W. Springfield,Johnson/ Gray,111
W. Springfield,Stein/ Honkala,65
W. Springfield,All Others,20
W. Stockbridge,Obama/ Biden,707
W. Stockbridge,Romney/ Ryan,161
W. Stockbridge,Johnson/ Gray,12
W. Stockbridge,Stein/ Honkala,6
W. Stockbridge,All Others,0
W. Tisbury,Obama/ Biden,1573
W. Tisbury,Romney/ Ryan,373
W. Tisbury,Johnson/ Gray,17
W. Tisbury,Stein/ Honkala,16
W. Tisbury,All Others,6
Westborough,Obama/ Biden,5089
Westborough,Romney/ Ryan,3897
Westborough,Johnson/ Gray,79
Westborough,Stein/ Honkala,59
Westborough,All Others,23
Westfield,Obama/ Biden,9281
Westfield,Romney/ Ryan,8218
Westfield,Johnson/ Gray,213
Westfield,Stein/ Honkala,120
Westfield,All Others,50
Westford,Obama/ Biden,6406
Westford,Romney/ Ryan,6309
Westford,Johnson/ Gray,156
Westford,Stein/ Honkala,57
Westford,All Others,14
Westhampton,Obama/ Biden,639
Westhampton,Romney/ Ryan,385
Westhampton,Johnson/ Gray,16
Westhampton,Stein/ Honkala,18
Westhampton,All Others,1
Westminster,Obama/ Biden,1947
Westminster,Romney/ Ryan,2248
Westminster,Johnson/ Gray,49
Westminster,Stein/ Honkala,42
Westminster,All Others,8
Weston,Obama/ Biden,3430
Weston,Romney/ Ryan,3177
Weston,Johnson/ Gray,45
Weston,Stein/ Honkala,27
Weston,All Others,16
Westport,Obama/ Biden,5095
Westport,Romney/ Ryan,3386
Westport,Johnson/ Gray,102
Westport,Stein/ Honkala,40
Westport,All Others,0
Westwood,Obama/ Biden,4393
Westwood,Romney/ Ryan,4575
Westwood,Johnson/ Gray,70
Westwood,Stein/ Honkala,38
Westwood,All Others,12
Weymouth,Obama/ Biden,15166
Weymouth,Romney/ Ryan,12362
Weymouth,Johnson/ Gray,226
Weymouth,Stein/ Honkala,139
Weymouth,All Others,92
Whately,Obama/ Biden,627
Whately,Romney/ Ryan,301
Whately,Johnson/ Gray,14
Whately,Stein/ Honkala,19
Whately,All Others,0
Whitman,Obama/ Biden,3655
Whitman,Romney/ Ryan,3656
Whitman,Johnson/ Gray,74
Whitman,Stein/ Honkala,43
Whitman,All Others,29
Wilbraham,Obama/ Biden,3746
Wilbraham,Romney/ Ryan,4334
Wilbraham,Johnson/ Gray,87
Wilbraham,Stein/ Honkala,41
Wilbraham,All Others,10
Williamsburg,Obama/ Biden,1240
Williamsburg,Romney/ Ryan,325
Williamsburg,Johnson/ Gray,17
Williamsburg,Stein/ Honkala,43
Williamsburg,All Others,3
Williamstown,Obama/ Biden,3070
Williamstown,Romney/ Ryan,646
Williamstown,Johnson/ Gray,37
Williamstown,Stein/ Honkala,36
Williamstown,All Others,8
Wilmington,Obama/ Biden,5904
Wilmington,Romney/ Ryan,6452
Wilmington,Johnson/ Gray,120
Wilmington,Stein/ Honkala,42
Wilmington,All Others,35
