fips,county,candidate,votes
38059,Morton,ROMNEY,8680
38059,Morton,GOODE,53
38059,Morton,JOHNSON,254
38059,Morton,STEIN,67
38059,Morton,write-in,90
38061,Mountrail,OBAMA,1403
38061,Mountrail,ROMNEY,1962
38061,Mountrail,GOODE,15
38061,Mountrail,JOHNSON,60
38061,Mountrail,STEIN,8
38061,Mountrail,write-in,9
38063,Nelson,OBAMA,767
38063,Nelson,ROMNEY,865
38063,Nelson,GOODE,6
38063,Nelson,JOHNSON,30
38063,Nelson,STEIN,4
38063,Nelson,write-in,6
38065,Oliver,OBAMA,281
38065,Oliver,ROMNEY,693
38065,Oliver,GOODE,9
38065,Oliver,JOHNSON,23
38065,Oliver,STEIN,4
38065,Oliver,write-in,3
38067,Pembina,OBAMA,1253
38067,Pembina,ROMNEY,1899
38067,Pembina,GOODE,26
38067,Pembina,JOHNSON,50
38067,Pembina,STEIN,13
38067,Pembina,write-in,14
38069,Pierce,OBAMA,660
38069,Pierce,ROMNEY,1465
38069,Pierce,GOODE,10
38069,Pierce,JOHNSON,24
38069,Pierce,STEIN,10
38069,Pierce,write-in,9
38071,Ramsey,OBAMA,2164
38071,Ramsey,ROMNEY,2665
38071,Ramsey,GOODE,32
38071,Ramsey,JOHNSON,96
38071,Ramsey,STEIN,22
38071,Ramsey,write-in,20
38073,Ransom,OBAMA,1343
38073,Ransom,ROMNEY,1009
38073,Ransom,GOODE,12
38073,Ransom,JOHNSON,43
38073,Ransom,STEIN,8
38073,Ransom,write-in,10
38075,Renville,OBAMA,398
38075,Renville,ROMNEY,851
38075,Renville,GOODE,5
38075,Renville,JOHNSON,19
38075,Renville,STEIN,0
38075,Renville,write-in,5
38077,Richland,OBAMA,3198
38077,Richland,ROMNEY,4229
38077,Richland,GOODE,27
38077,Richland,JOHNSON,86
38077,Richland,STEIN,34
38077,Richland,write-in,39
38079,Rolette,OBAMA,3353
38079,Rolette,ROMNEY,1092
38079,Rolette,GOODE,21
38079,Rolette,JOHNSON,48
38079,Rolette,STEIN,18
38079,Rolette,write-in,20
38081,Sargent,OBAMA,1075
38081,Sargent,ROMNEY,879
38081,Sargent,GOODE,8
38081,Sargent,JOHNSON,22
38081,Sargent,STEIN,8
38081,Sargent,write-in,15
38083,Sheridan,OBAMA,163
38083,Sheridan,ROMNEY,642
38083,Sheridan,GOODE,6
38083,Sheridan,JOHNSON,5
38083,Sheridan,STEIN,0
38083,Sheridan,write-in,6
38085,Sioux,OBAMA,900
38085,Sioux,ROMNEY,225
38085,Sioux,GOODE,4
38085,Sioux,JOHNSON,5
38085,Sioux,STEIN,6
38085,Sioux,write-in,4
38087,Slope,OBAMA,83
38087,Slope,ROMNEY,341
38087,Slope,GOODE,2
38087,Slope,JOHNSON,5
38087,Slope,STEIN,3
38087,Slope,write-in,3
38089,Stark,OBAMA,2812
38089,Stark,ROMNEY,8521
38089,Stark,GOODE,30
38089,Stark,JOHNSON,148
38089,Stark,STEIN,48
38089,Stark,write-in,74
38091,Steele,OBAMA,518
38091,Steele,ROMNEY,498
38091,Steele,GOODE,5
38091,Steele,JOHNSON,11
38091,Steele,STEIN,3
38091,Steele,write-in,7
38093,Stutsman,OBAMA,3585
38093,Stutsman,ROMNEY,5685
38093,Stutsman,GOODE,39
38093,Stutsman,JOHNSON,138
38093,Stutsman,STEIN,54
38093,Stutsman,write-in,57
38095,Towner,OBAMA,516
38095,Towner,ROMNEY,623
38095,Towner,GOODE,7
38095,Towner,JOHNSON,22
38095,Towner,STEIN,5
38095,Towner,write-in,9
38097,Traill,OBAMA,1811
38097,Traill,ROMNEY,1996
38097,Traill,GOODE,20
38097,Traill,JOHNSON,59
38097,Traill,STEIN,15
38097,Traill,write-in,20
38099,Walsh,OBAMA,1985
38099,Walsh,ROMNEY,2656
38099,Walsh,GOODE,17
38099,Walsh,JOHNSON,96
38099,Walsh,STEIN,12
38099,Walsh,write-in,25
38101,Ward,OBAMA,8441
38101,Ward,ROMNEY,16230
38101,Ward,GOODE,92
38101,Ward,JOHNSON,449
38101,Ward,STEIN,102
38101,Ward,write-in,149
38103,Wells,OBAMA,673
38103,Wells,ROMNEY,1654
38103,Wells,GOODE,11
38103,Wells,JOHNSON,27
38103,Wells,STEIN,5
38103,Wells,write-in,9
38105,Williams,OBAMA,2322
38105,Williams,ROMNEY,7184
38105,Williams,GOODE,36
38105,Williams,JOHNSON,161
38105,Williams,STEIN,30
38105,Williams,write-in,75
