town,candidate,votes
LINCOLN,Barack OBAMA,6028
LINCOLN,Mitt ROMNEY,4866
LINCOLN,Gary JOHNSON,81
LINCOLN,Jill STEIN,40
LINCOLN,WRITE-IN,32
LINCOLN,Ross C. &quot;Rocky&quot; ANDERSON,9
LINCOLN,Virgil GOODE,8
LINCOLN,Peta LINDSAY,0
LITTLE COMPTON,Barack OBAMA,1214
LITTLE COMPTON,Mitt ROMNEY,908
LITTLE COMPTON,Gary JOHNSON,26
LITTLE COMPTON,Jill STEIN,13
LITTLE COMPTON,WRITE-IN,5
LITTLE COMPTON,Ross C. &quot;Rocky&quot; ANDERSON,4
LITTLE COMPTON,Virgil GOODE,2
LITTLE COMPTON,Peta LINDSAY,0
MIDDLETOWN,Barack OBAMA,4304
MIDDLETOWN,Mitt ROMNEY,2785
MIDDLETOWN,Gary JOHNSON,72
MIDDLETOWN,Jill STEIN,22
MIDDLETOWN,WRITE-IN,18
MIDDLETOWN,Virgil GOODE,15
MIDDLETOWN,Ross C. &quot;Rocky&quot; ANDERSON,6
MIDDLETOWN,Peta LINDSAY,1
NARRAGANSETT,Barack OBAMA,4339
NARRAGANSETT,Mitt ROMNEY,3223
NARRAGANSETT,Gary JOHNSON,91
NARRAGANSETT,Jill STEIN,54
NARRAGANSETT,WRITE-IN,28
NARRAGANSETT,Ross C. &quot;Rocky&quot; ANDERSON,13
NARRAGANSETT,Virgil GOODE,7
NARRAGANSETT,Peta LINDSAY,1
NEW SHOREHAM,Barack OBAMA,666
NEW SHOREHAM,Mitt ROMNEY,276
NEW SHOREHAM,Gary JOHNSON,15
NEW SHOREHAM,Jill STEIN,8
NEW SHOREHAM,WRITE-IN,4
NEW SHOREHAM,Ross C. &quot;Rocky&quot; ANDERSON,2
NEW SHOREHAM,Virgil GOODE,1
NEW SHOREHAM,Peta LINDSAY,0
NEWPORT,Barack OBAMA,6174
NEWPORT,Mitt ROMNEY,2959
NEWPORT,Gary JOHNSON,94
NEWPORT,Jill STEIN,42
NEWPORT,WRITE-IN,26
NEWPORT,Virgil GOODE,9
NEWPORT,Ross C. &quot;Rocky&quot; ANDERSON,5
NEWPORT,Peta LINDSAY,4
NORTH KINGSTOWN,Barack OBAMA,7847
NORTH KINGSTOWN,Mitt ROMNEY,6451
NORTH KINGSTOWN,Gary JOHNSON,195
NORTH KINGSTOWN,Jill STEIN,99
NORTH KINGSTOWN,WRITE-IN,50
NORTH KINGSTOWN,Virgil GOODE,20
NORTH KINGSTOWN,Ross C. &quot;Rocky&quot; ANDERSON,13
NORTH KINGSTOWN,Peta LINDSAY,6
NORTH PROVIDENCE,Barack OBAMA,9613
NORTH PROVIDENCE,Mitt ROMNEY,5404
NORTH PROVIDENCE,Gary JOHNSON,144
NORTH PROVIDENCE,Jill STEIN,56
NORTH PROVIDENCE,WRITE-IN,46
NORTH PROVIDENCE,Virgil GOODE,15
NORTH PROVIDENCE,Ross C. &quot;Rocky&quot; ANDERSON,14
NORTH PROVIDENCE,Peta LINDSAY,6
NORTH SMITHFIELD,Barack OBAMA,3050
NORTH SMITHFIELD,Mitt ROMNEY,2852
NORTH SMITHFIELD,Gary JOHNSON,73
NORTH SMITHFIELD,Jill STEIN,25
NORTH SMITHFIELD,WRITE-IN,25
NORTH SMITHFIELD,Ross C. &quot;Rocky&quot; ANDERSON,8
NORTH SMITHFIELD,Peta LINDSAY,3
NORTH SMITHFIELD,Virgil GOODE,1
PAWTUCKET,Barack OBAMA,18155
PAWTUCKET,Mitt ROMNEY,5228
PAWTUCKET,Gary JOHNSON,204
PAWTUCKET,Jill STEIN,93
PAWTUCKET,WRITE-IN,59
PAWTUCKET,Virgil GOODE,21
PAWTUCKET,Ross C. &quot;Rocky&quot; ANDERSON,21
PAWTUCKET,Peta LINDSAY,3
PORTSMOUTH,Barack OBAMA,5017
PORTSMOUTH,Mitt ROMNEY,4165
PORTSMOUTH,Gary JOHNSON,80
PORTSMOUTH,Jill STEIN,47
PORTSMOUTH,WRITE-IN,28
PORTSMOUTH,Virgil GOODE,14
PORTSMOUTH,Ross C. &quot;Rocky&quot; ANDERSON,9
PORTSMOUTH,Peta LINDSAY,3
PROVIDENCE,Barack OBAMA,43617
PROVIDENCE,Mitt ROMNEY,7282
PROVIDENCE,Jill STEIN,436
PROVIDENCE,Gary JOHNSON,366
PROVIDENCE,WRITE-IN,117
PROVIDENCE,Ross C. &quot;Rocky&quot; ANDERSON,55
PROVIDENCE,Virgil GOODE,36
PROVIDENCE,Peta LINDSAY,28
RICHMOND,Barack OBAMA,2002
RICHMOND,Mitt ROMNEY,1555
RICHMOND,Gary JOHNSON,73
RICHMOND,Jill STEIN,29
RICHMOND,WRITE-IN,14
RICHMOND,Virgil GOODE,6
RICHMOND,Ross C. &quot;Rocky&quot; ANDERSON,4
RICHMOND,Peta LINDSAY,3
SCITUATE,Mitt ROMNEY,3018
SCITUATE,Barack OBAMA,2607
SCITUATE,Gary JOHNSON,56
SCITUATE,WRITE-IN,32
SCITUATE,Jill STEIN,31
SCITUATE,Virgil GOODE,7
SCITUATE,Ross C. &quot;Rocky&quot; ANDERSON,6
SCITUATE,Peta LINDSAY,3
