fips,county,candidate,votes
40125,POTTAWATOMIE,BARACK OBAMA,7188
40125,POTTAWATOMIE,MITT ROMNEY,16250
40127,PUSHMATAHA,BARACK OBAMA,1043
40127,PUSHMATAHA,MITT ROMNEY,3087
40129,ROGER MILLS,BARACK OBAMA,272
40129,ROGER MILLS,MITT ROMNEY,1402
40131,ROGERS,BARACK OBAMA,9148
40131,ROGERS,MITT ROMNEY,27553
40133,SEMINOLE,BARACK OBAMA,2600
40133,SEMINOLE,MITT ROMNEY,4856
40135,SEQUOYAH,BARACK OBAMA,4193
40135,SEQUOYAH,MITT ROMNEY,9578
40137,STEPHENS,BARACK OBAMA,3939
40137,STEPHENS,MITT ROMNEY,12908
40139,TEXAS,BARACK OBAMA,862
40139,TEXAS,MITT ROMNEY,4930
40141,TILLMAN,BARACK OBAMA,906
40141,TILLMAN,MITT ROMNEY,1815
40143,TULSA,BARACK OBAMA,82744
40143,TULSA,MITT ROMNEY,145062
40145,WAGONER,BARACK OBAMA,7791
40145,WAGONER,MITT ROMNEY,20900
40147,WASHINGTON,BARACK OBAMA,5532
40147,WASHINGTON,MITT ROMNEY,15668
40149,WASHITA,BARACK OBAMA,822
40149,WASHITA,MITT ROMNEY,3494
40151,WOODS,BARACK OBAMA,671
40151,WOODS,MITT ROMNEY,2727
40153,WOODWARD,BARACK OBAMA,1133
40153,WOODWARD,MITT ROMNEY,5945
