fips,county,candidate,votes
29073,Gasconade,Mitt Romney,4895 
29073,Gasconade,Virgil Goode,23 
29075,Gentry,Barack Obama,937 
29075,Gentry,Gary Johnson,63 
29075,Gentry,Mitt Romney,1988 
29075,Gentry,Virgil Goode,11 
29077,Greene,Barack Obama,46219 
29077,Greene,Gary Johnson,2362 
29077,Greene,Mitt Romney,76900 
29077,Greene,Virgil Goode,367 
29079,Grundy,Barack Obama,1212 
29079,Grundy,Gary Johnson,106 
29079,Grundy,Mitt Romney,3030 
29079,Grundy,Virgil Goode,26 
29081,Harrison,Barack Obama,984 
29081,Harrison,Gary Johnson,67 
29081,Harrison,Mitt Romney,2624 
29081,Harrison,Virgil Goode,20 
29083,Henry,Barack Obama,3606 
29083,Henry,Gary Johnson,240 
29083,Henry,Mitt Romney,6229 
29083,Henry,Virgil Goode,48 
29085,Hickory,Barack Obama,1733 
29085,Hickory,Gary Johnson,88 
29085,Hickory,Mitt Romney,2835 
29085,Hickory,Virgil Goode,24 
29087,Holt,Barack Obama,551 
29087,Holt,Gary Johnson,31 
29087,Holt,Mitt Romney,1725 
29087,Holt,Virgil Goode,3 
29089,Howard,Barack Obama,1723 
29089,Howard,Gary Johnson,115 
29089,Howard,Mitt Romney,3017 
29089,Howard,Virgil Goode,12 
29091,Howell,Barack Obama,4395 
29091,Howell,Gary Johnson,322 
29091,Howell,Mitt Romney,11544 
29091,Howell,Virgil Goode,85 
29093,Iron,Barack Obama,1669 
29093,Iron,Gary Johnson,89 
29093,Iron,Mitt Romney,2252 
29093,Iron,Virgil Goode,21 
29095,Jackson,Barack Obama,183953
29095,Jackson,Gary Johnson,4133
29095,Jackson,Mitt Romney,122708
29095,Jackson,Virgil Goode,783
29097,Jasper,Barack Obama,12809 
29097,Jasper,Gary Johnson,919 
29097,Jasper,Mitt Romney,31349 
29097,Jasper,Virgil Goode,141 
29099,Jefferson,Barack Obama,41564 
29099,Jefferson,Gary Johnson,1715 
29099,Jefferson,Mitt Romney,53978 
29099,Jefferson,Virgil Goode,354 
29101,Johnson,Barack Obama,7667 
29101,Johnson,Gary Johnson,501 
29101,Johnson,Mitt Romney,12763 
29101,Johnson,Virgil Goode,90 
29103,Knox,Barack Obama,698 
29103,Knox,Gary Johnson,41 
29103,Knox,Mitt Romney,1205 
29103,Knox,Virgil Goode,13 
29105,Laclede,Barack Obama,4093 
29105,Laclede,Gary Johnson,277 
29105,Laclede,Mitt Romney,10934 
29105,Laclede,Virgil Goode,58 
29107,Lafayette,Barack Obama,5655 
29107,Lafayette,Gary Johnson,277 
29107,Lafayette,Mitt Romney,9803 
29107,Lafayette,Virgil Goode,60 
29109,Lawrence,Barack Obama,4017 
29109,Lawrence,Gary Johnson,251 
29109,Lawrence,Mitt Romney,11421 
29109,Lawrence,Virgil Goode,66 
29111,Lewis,Barack Obama,1508 
29111,Lewis,Gary Johnson,74 
29111,Lewis,Mitt Romney,2677 
29111,Lewis,Virgil Goode,20 
29113,Lincoln,Barack Obama,7734 
29113,Lincoln,Gary Johnson,476 
29113,Lincoln,Mitt Romney,14332 
29113,Lincoln,Virgil Goode,110 
29115,Linn,Barack Obama,2041 
